Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2004-04-01,29.9,30.8,28.5,29.25,29.1,32799.0,9.69,NSE/DHANBANK
2004-04-02,30.45,30.45,28.0,28.25,28.55,54200.0,15.57,NSE/DHANBANK
2004-04-05,29.45,30.75,29.0,29.75,29.4,44667.0,13.34,NSE/DHANBANK
2004-04-06,29.95,29.95,28.05,29.4,29.25,16600.0,4.8,NSE/DHANBANK
2004-04-07,29.5,30.0,29.0,29.7,29.5,11151.0,3.3,NSE/DHANBANK
2004-04-08,29.1,30.95,29.05,30.65,30.55,32365.0,9.81,NSE/DHANBANK
2004-04-12,31.8,31.9,30.25,30.5,30.5,25579.0,7.85,NSE/DHANBANK
2004-04-13,30.3,30.5,27.65,30.25,30.1,18360.0,5.51,NSE/DHANBANK
2004-04-15,30.4,31.0,30.0,31.0,30.65,27078.0,8.32,NSE/DHANBANK
2004-04-16,31.0,32.85,31.0,32.5,32.25,57362.0,18.41,NSE/DHANBANK
2004-04-17,32.95,33.7,32.1,33.3,33.1,30185.0,9.92,NSE/DHANBANK
2004-04-19,33.05,34.4,31.55,31.6,31.75,47564.0,15.54,NSE/DHANBANK
2004-04-20,32.0,32.5,30.3,31.7,31.1,20945.0,6.52,NSE/DHANBANK
2004-04-21,30.6,31.75,30.5,31.35,31.4,20267.0,6.33,NSE/DHANBANK
2004-04-22,31.2,31.95,30.9,31.85,31.8,30307.0,9.56,NSE/DHANBANK
2004-04-23,33.8,33.8,31.5,31.9,31.6,34634.0,11.07,NSE/DHANBANK
2004-04-27,31.05,31.9,29.2,30.0,29.6,35335.0,10.61,NSE/DHANBANK
2004-04-28,28.8,29.85,28.55,29.1,29.35,26216.0,7.66,NSE/DHANBANK
2004-04-29,31.55,31.55,29.4,30.4,29.95,16324.0,4.86,NSE/DHANBANK
2004-04-30,29.5,30.4,29.45,29.5,29.75,15445.0,4.62,NSE/DHANBANK
2004-05-03,29.95,30.0,28.0,28.05,28.6,26301.0,7.58,NSE/DHANBANK
2004-05-04,29.0,30.25,29.0,30.1,30.0,15523.0,4.66,NSE/DHANBANK
2004-05-05,29.35,31.0,29.3,30.5,30.4,18081.0,5.54,NSE/DHANBANK
