Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2011-06-29,92.6,96.95,87.0,88.15,89.05,121987.0,111.6,NSE/DHANUKA
2011-06-30,90.7,90.7,87.0,88.5,88.6,37830.0,33.21,NSE/DHANUKA
2011-07-01,83.0,90.0,83.0,89.95,89.0,48253.0,42.9,NSE/DHANUKA
2011-07-04,91.0,91.0,88.0,88.7,89.0,40203.0,35.91,NSE/DHANUKA
2011-07-05,88.8,90.85,88.25,88.25,88.7,40502.0,36.12,NSE/DHANUKA
2011-07-06,87.3,93.5,87.3,93.5,93.15,112367.0,103.26,NSE/DHANUKA
2011-07-07,94.5,94.8,90.7,91.75,91.9,81526.0,75.14,NSE/DHANUKA
2011-07-08,91.9,92.95,89.6,91.0,90.95,76381.0,69.54,NSE/DHANUKA
2011-07-11,91.05,92.0,87.4,90.0,89.55,69265.0,62.37,NSE/DHANUKA
2011-07-12,88.0,89.95,88.0,89.9,89.85,38382.0,34.21,NSE/DHANUKA
2011-07-13,90.2,97.0,90.05,95.0,94.4,111046.0,104.32,NSE/DHANUKA
2011-07-14,92.1,96.0,92.1,93.5,93.55,63123.0,59.03,NSE/DHANUKA
2011-07-15,96.7,98.8,94.5,96.0,95.95,85341.0,82.23,NSE/DHANUKA
2011-07-18,97.85,99.4,96.05,97.75,98.05,51901.0,50.38,NSE/DHANUKA
2011-07-19,97.2,104.0,97.2,102.6,103.0,216147.0,218.92,NSE/DHANUKA
2011-07-20,103.8,108.5,103.6,106.15,106.85,199341.0,212.34,NSE/DHANUKA
2011-07-21,106.2,112.3,99.6,102.0,102.35,272083.0,295.34,NSE/DHANUKA
2011-07-22,103.45,109.7,103.45,107.05,108.65,101569.0,108.56,NSE/DHANUKA
2011-07-25,107.8,110.05,106.4,107.2,107.8,69163.0,74.96,NSE/DHANUKA
2011-07-26,107.35,108.75,103.35,105.0,104.35,87772.0,92.75,NSE/DHANUKA
2011-07-27,105.35,114.45,103.4,111.0,111.4,252707.0,279.91,NSE/DHANUKA
2011-07-28,110.85,112.5,107.1,110.0,109.6,125382.0,138.07,NSE/DHANUKA
2011-07-29,108.0,111.6,105.1,106.5,105.85,80395.0,87.15,NSE/DHANUKA
2011-08-01,105.0,111.9,105.0,110.0,110.0,102614.0,112.98,NSE/DHANUKA
2011-08-02,112.0,112.05,107.15,110.0,110.15,71389.0,78.45,NSE/DHANUKA
2011-08-03,103.0,113.4,103.0,110.05,110.2,97488.0,107.85,NSE/DHANUKA
2011-08-04,108.55,113.8,108.55,110.0,109.9,72302.0,79.72,NSE/DHANUKA
2011-08-05,104.05,109.9,103.0,106.25,105.3,151453.0,160.64,NSE/DHANUKA
2011-08-08,103.0,104.8,99.6,103.1,103.45,64426.0,66.21,NSE/DHANUKA
2011-08-09,98.2,103.8,98.2,99.55,100.4,76689.0,77.6,NSE/DHANUKA
2011-08-10,100.5,110.0,100.5,106.8,107.35,184612.0,196.88,NSE/DHANUKA
2011-08-11,106.25,108.95,104.0,105.0,104.75,72241.0,76.93,NSE/DHANUKA
2011-08-12,101.1,109.55,101.1,102.5,103.3,66853.0,69.97,NSE/DHANUKA
2011-08-16,104.75,105.0,100.2,101.0,100.65,65715.0,67.49,NSE/DHANUKA
2011-08-17,100.8,102.9,100.0,100.1,100.35,40545.0,40.97,NSE/DHANUKA
2011-08-18,99.65,101.0,98.0,100.0,98.55,56146.0,55.91,NSE/DHANUKA
2011-08-19,92.2,97.55,92.2,95.0,96.0,48193.0,46.33,NSE/DHANUKA
2011-08-22,97.95,101.0,95.0,100.0,98.65,65181.0,63.41,NSE/DHANUKA
2011-08-23,99.7,101.0,98.15,100.0,100.25,41211.0,41.27,NSE/DHANUKA
2011-08-24,96.0,101.95,96.0,100.0,100.4,43324.0,43.73,NSE/DHANUKA
2011-08-25,99.25,100.0,98.3,98.3,98.9,34883.0,34.73,NSE/DHANUKA
2011-08-26,99.8,99.95,96.3,98.9,97.95,36479.0,36.07,NSE/DHANUKA
2011-08-29,101.3,105.5,100.2,102.9,102.2,64378.0,66.26,NSE/DHANUKA
2011-08-30,103.0,105.55,102.0,103.85,104.4,42701.0,44.0,NSE/DHANUKA
2011-09-02,100.0,104.9,100.0,103.5,102.95,37571.0,38.72,NSE/DHANUKA
2011-09-05,102.95,103.5,101.7,102.25,102.5,35087.0,35.94,NSE/DHANUKA
2011-09-06,100.05,103.0,100.05,102.5,102.05,40366.0,41.17,NSE/DHANUKA
2011-09-07,103.0,103.7,102.05,102.1,102.85,50979.0,52.42,NSE/DHANUKA
2011-09-08,106.0,106.0,101.6,102.1,102.45,36768.0,37.59,NSE/DHANUKA
2011-09-09,101.35,103.0,101.35,101.35,101.6,48946.0,49.98,NSE/DHANUKA
2011-09-12,98.0,101.95,98.0,99.0,98.95,53357.0,53.11,NSE/DHANUKA
2011-09-13,101.0,101.85,100.0,100.0,100.6,38802.0,39.1,NSE/DHANUKA
2011-09-14,100.1,101.9,100.0,101.0,101.75,42866.0,43.23,NSE/DHANUKA
2011-09-15,91.0,102.6,91.0,101.85,101.5,33813.0,34.31,NSE/DHANUKA
2011-09-16,101.95,102.45,100.05,100.5,101.25,38382.0,38.89,NSE/DHANUKA
2011-09-19,100.5,102.45,100.5,101.9,101.9,35820.0,36.34,NSE/DHANUKA
2011-09-20,103.9,104.4,102.2,102.95,103.2,66621.0,68.65,NSE/DHANUKA
2011-09-21,101.7,103.85,101.7,103.85,102.7,37533.0,38.52,NSE/DHANUKA
2011-09-22,105.5,105.5,99.0,100.5,100.2,39798.0,40.22,NSE/DHANUKA
2011-09-23,102.75,102.75,98.0,101.95,101.9,36373.0,36.42,NSE/DHANUKA
2011-09-26,102.6,104.7,98.2,100.0,100.4,50491.0,50.63,NSE/DHANUKA
2011-09-27,102.85,102.85,100.5,100.5,101.0,38365.0,38.92,NSE/DHANUKA
2011-09-28,99.5,104.0,99.5,101.95,102.0,45405.0,46.46,NSE/DHANUKA
2011-09-29,100.0,102.3,99.2,102.0,101.9,34106.0,34.59,NSE/DHANUKA
2011-09-30,101.9,102.0,100.0,100.25,100.4,33748.0,34.1,NSE/DHANUKA
2011-10-03,100.0,100.5,99.5,99.7,100.05,32352.0,32.39,NSE/DHANUKA
2011-10-04,119.0,119.0,99.5,99.5,99.65,55630.0,56.03,NSE/DHANUKA
2011-10-05,101.6,101.6,95.1,98.5,98.85,28417.0,28.31,NSE/DHANUKA
