Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2007-10-17,295.0,327.8,260.0,306.3,309.75,4370615.0,13411.03,NSE/DHANUS
2007-10-18,320.0,371.7,313.0,334.0,348.35,4082100.0,14343.5,NSE/DHANUS
2007-10-19,350.0,400.0,310.1,322.1,319.05,1182018.0,3914.86,NSE/DHANUS
2007-10-22,310.0,339.0,290.4,339.0,332.4,1035570.0,3354.31,NSE/DHANUS
2007-10-23,345.0,364.0,336.25,341.0,340.6,1645852.0,5736.78,NSE/DHANUS
2007-10-24,345.55,355.0,325.1,327.0,329.85,1321334.0,4489.4,NSE/DHANUS
2007-10-25,330.0,334.9,322.05,322.05,324.25,271130.0,893.31,NSE/DHANUS
2007-10-26,329.25,355.0,326.1,342.0,343.4,1074391.0,3700.09,NSE/DHANUS
2007-10-29,349.95,353.9,328.0,328.0,329.65,589150.0,2023.16,NSE/DHANUS
2007-10-30,332.0,332.8,309.5,310.0,312.1,461296.0,1478.03,NSE/DHANUS
2007-10-31,312.45,328.35,309.0,312.5,312.45,255930.0,814.79,NSE/DHANUS
2007-11-01,315.05,320.8,288.1,292.0,291.45,159481.0,484.49,NSE/DHANUS
2007-11-02,275.05,287.8,255.05,277.0,277.6,104764.0,292.36,NSE/DHANUS
2007-11-05,287.75,292.6,223.3,254.95,255.8,138222.0,364.2,NSE/DHANUS
2007-11-06,261.0,267.0,211.0,218.2,216.05,307759.0,721.9,NSE/DHANUS
2007-11-07,223.0,235.0,212.25,220.0,218.95,264714.0,587.69,NSE/DHANUS
2007-11-08,212.0,234.5,209.8,229.0,228.0,198837.0,454.78,NSE/DHANUS
2007-11-09,233.0,234.0,218.2,219.95,222.45,11574.0,25.94,NSE/DHANUS
2007-11-12,218.0,220.0,211.1,216.25,219.4,93579.0,204.79,NSE/DHANUS
2007-11-13,219.9,226.8,215.55,217.25,217.45,133736.0,297.83,NSE/DHANUS
2007-11-14,224.95,224.95,216.3,222.5,221.65,55446.0,122.28,NSE/DHANUS
2007-11-15,226.0,233.05,226.0,231.55,230.8,65910.0,151.92,NSE/DHANUS
2007-11-16,229.55,270.45,225.2,259.0,262.35,264677.0,629.44,NSE/DHANUS
2007-11-19,268.4,281.0,252.6,274.0,271.75,139154.0,376.61,NSE/DHANUS
2007-11-20,273.0,279.75,270.1,270.4,273.0,276261.0,760.05,NSE/DHANUS
2007-11-21,270.0,276.0,249.0,249.0,251.75,33385.0,87.44,NSE/DHANUS
2007-11-22,257.0,260.0,242.0,258.0,255.55,40539.0,102.01,NSE/DHANUS
2007-11-23,264.9,264.9,242.15,252.1,248.05,9826.0,24.82,NSE/DHANUS
2007-11-26,261.85,263.0,255.05,259.9,259.8,69432.0,180.48,NSE/DHANUS
2007-11-27,260.0,260.0,245.15,255.0,255.0,59962.0,152.86,NSE/DHANUS
2007-11-28,261.0,261.0,250.05,255.0,255.15,29806.0,76.02,NSE/DHANUS
2007-11-29,258.0,277.1,251.0,260.0,256.8,28247.0,74.75,NSE/DHANUS
2007-11-30,265.0,278.0,260.0,275.0,275.65,109351.0,299.78,NSE/DHANUS
2007-12-03,267.0,278.8,261.0,274.2,276.25,58451.0,158.69,NSE/DHANUS
2007-12-04,274.5,276.0,264.0,265.0,267.25,16647.0,44.72,NSE/DHANUS
2007-12-05,272.0,298.0,266.2,274.3,276.85,48054.0,135.79,NSE/DHANUS
2007-12-06,276.0,289.0,266.0,268.0,271.55,43606.0,122.03,NSE/DHANUS
