Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2011-03-18,70.0,80.0,60.0,61.9,61.35,27984.0,18.24,NSE/DHUNINV
2011-03-21,64.0,64.45,62.0,64.0,64.0,6399.0,4.11,NSE/DHUNINV
2011-03-22,64.5,67.1,62.6,65.4,65.4,1433.0,0.95,NSE/DHUNINV
2011-03-23,65.5,68.7,62.3,66.0,66.0,1943.0,1.28,NSE/DHUNINV
2011-03-24,64.1,69.3,64.1,69.3,69.3,1748.0,1.16,NSE/DHUNINV
2011-03-25,69.35,71.9,66.55,68.05,68.45,1666.0,1.16,NSE/DHUNINV
2011-03-28,68.45,71.9,68.45,71.65,71.55,2376.0,1.71,NSE/DHUNINV
2011-03-29,73.0,75.0,70.0,72.0,72.0,379.0,0.28,NSE/DHUNINV
2011-03-30,69.75,71.9,69.2,69.3,69.3,281.0,0.2,NSE/DHUNINV
2011-03-31,68.55,72.4,68.55,72.4,72.2,794.0,0.57,NSE/DHUNINV
2011-04-01,75.0,79.9,73.5,77.45,76.2,1905.0,1.45,NSE/DHUNINV
2011-04-04,79.5,84.7,79.5,84.7,83.75,2684.0,2.19,NSE/DHUNINV
2011-04-05,68.0,95.0,68.0,95.0,93.55,4911.0,4.53,NSE/DHUNINV
2011-04-06,100.0,103.5,93.5,98.0,97.65,6519.0,6.4,NSE/DHUNINV
2011-04-07,98.5,98.5,88.0,94.95,92.65,2361.0,2.25,NSE/DHUNINV
2011-04-11,80.0,85.25,77.35,81.0,80.5,2331.0,1.89,NSE/DHUNINV
2011-04-13,84.7,96.0,84.7,93.0,92.2,10824.0,10.02,NSE/DHUNINV
2011-04-15,95.5,96.0,86.0,86.15,86.9,507.0,0.46,NSE/DHUNINV
2011-04-18,94.8,94.8,86.0,86.0,86.0,1746.0,1.56,NSE/DHUNINV
2011-04-19,83.1,89.9,83.0,89.9,89.8,816.0,0.71,NSE/DHUNINV
2011-04-20,77.05,93.0,77.05,89.0,88.3,1975.0,1.7,NSE/DHUNINV
2011-04-21,89.0,89.0,85.1,87.0,87.0,170.0,0.15,NSE/DHUNINV
2011-04-25,89.75,90.0,83.0,90.0,90.0,2394.0,2.11,NSE/DHUNINV
2011-04-26,86.0,89.9,86.0,86.5,86.8,1020.0,0.89,NSE/DHUNINV
2011-04-27,88.0,90.0,83.05,84.5,85.3,2671.0,2.33,NSE/DHUNINV
2011-04-28,88.0,90.0,78.55,78.55,82.9,6880.0,5.97,NSE/DHUNINV
2011-04-29,88.0,90.5,71.5,71.5,73.6,21519.0,16.98,NSE/DHUNINV
2011-05-02,76.6,86.0,64.0,77.4,79.75,8993.0,6.92,NSE/DHUNINV
2011-05-03,75.7,78.8,66.0,68.0,69.25,3224.0,2.28,NSE/DHUNINV
2011-05-04,69.95,70.0,61.3,64.75,65.65,7536.0,4.96,NSE/DHUNINV
2011-05-05,59.0,67.95,59.0,65.1,65.25,1514.0,0.97,NSE/DHUNINV
2011-05-06,68.0,68.9,60.1,64.05,64.05,615.0,0.41,NSE/DHUNINV
2011-05-09,55.6,68.95,55.6,65.2,67.05,952.0,0.63,NSE/DHUNINV
2011-05-10,64.1,69.75,64.05,65.0,65.1,1206.0,0.79,NSE/DHUNINV
2011-05-11,72.4,72.4,64.55,65.0,65.0,250.0,0.16,NSE/DHUNINV
2011-05-12,67.0,68.75,65.05,65.5,65.2,1037.0,0.68,NSE/DHUNINV
2011-05-13,55.5,74.0,55.5,67.55,68.3,12761.0,8.74,NSE/DHUNINV
2011-05-16,61.0,72.6,61.0,72.0,72.0,4692.0,3.2,NSE/DHUNINV
2011-05-17,71.9,72.45,70.0,71.5,71.55,271.0,0.19,NSE/DHUNINV
2011-05-18,62.6,75.0,62.6,71.0,71.0,1343.0,0.97,NSE/DHUNINV
2011-05-19,71.1,74.8,70.0,70.0,70.0,192.0,0.14,NSE/DHUNINV
2011-05-20,72.0,73.0,70.3,72.5,72.5,1461.0,1.06,NSE/DHUNINV
2011-05-23,63.0,78.0,63.0,71.0,71.35,670.0,0.48,NSE/DHUNINV
2011-05-24,71.0,71.1,69.05,70.75,69.4,503.0,0.35,NSE/DHUNINV
2011-05-25,66.75,66.75,66.75,66.75,66.75,2.0,0.0,NSE/DHUNINV
2011-05-26,68.5,68.5,68.5,68.5,68.5,5.0,0.0,NSE/DHUNINV
2011-05-27,73.9,73.9,71.0,73.75,73.75,151.0,0.11,NSE/DHUNINV
2011-05-30,70.8,70.8,70.8,70.8,70.8,15.0,0.01,NSE/DHUNINV
2011-05-31,71.0,71.6,71.0,71.0,71.15,1433.0,1.02,NSE/DHUNINV
2011-06-01,71.1,74.5,71.1,72.0,72.0,351.0,0.26,NSE/DHUNINV
2011-06-02,70.55,70.55,70.55,70.55,70.55,120.0,0.08,NSE/DHUNINV
2011-06-03,73.0,73.5,70.2,73.5,72.0,5050.0,3.63,NSE/DHUNINV
2011-06-06,69.0,70.25,69.0,70.25,70.25,44.0,0.03,NSE/DHUNINV
2011-06-07,67.0,73.95,67.0,73.95,73.8,281.0,0.2,NSE/DHUNINV
2011-06-08,73.0,73.0,67.5,69.0,69.0,150.0,0.1,NSE/DHUNINV
2011-06-09,69.25,69.25,69.25,69.25,69.25,25.0,0.02,NSE/DHUNINV
2011-06-10,70.0,70.0,69.0,69.0,69.0,500.0,0.35,NSE/DHUNINV
2011-06-15,70.25,70.25,70.0,70.0,70.0,176.0,0.12,NSE/DHUNINV
2011-06-16,71.0,71.05,71.0,71.05,71.05,98.0,0.07,NSE/DHUNINV
2011-06-17,69.1,70.6,69.1,70.6,70.6,50.0,0.03,NSE/DHUNINV
2011-06-21,67.5,74.8,66.0,67.5,67.5,1475.0,0.99,NSE/DHUNINV
2011-06-22,66.3,66.3,66.3,66.3,66.3,75.0,0.05,NSE/DHUNINV
2011-06-23,71.9,74.65,69.0,70.55,70.8,2274.0,1.64,NSE/DHUNINV
2011-06-24,70.0,70.0,70.0,70.0,70.0,200.0,0.14,NSE/DHUNINV
2011-06-27,72.0,72.0,72.0,72.0,72.0,200.0,0.14,NSE/DHUNINV
2011-06-28,70.05,71.55,70.05,71.55,71.55,208.0,0.15,NSE/DHUNINV
2011-06-29,72.0,75.0,72.0,72.0,72.0,700.0,0.51,NSE/DHUNINV
2011-06-30,72.0,74.9,72.0,74.9,74.9,170.0,0.13,NSE/DHUNINV
2011-07-01,74.0,74.0,72.0,74.0,74.0,452.0,0.33,NSE/DHUNINV
2011-07-04,75.0,76.5,73.0,75.0,75.0,955.0,0.71,NSE/DHUNINV
2011-07-05,75.0,75.0,74.1,74.1,74.1,339.0,0.25,NSE/DHUNINV
2011-07-06,73.1,73.7,73.05,73.7,73.7,266.0,0.2,NSE/DHUNINV
2011-07-07,73.7,75.0,73.6,73.6,73.75,613.0,0.45,NSE/DHUNINV
2011-07-08,72.0,73.1,71.6,73.0,73.0,103.0,0.07,NSE/DHUNINV
2011-07-12,70.5,73.9,70.5,73.9,73.9,51.0,0.04,NSE/DHUNINV
2011-07-13,74.0,74.0,74.0,74.0,74.0,50.0,0.04,NSE/DHUNINV
2011-07-14,74.0,74.0,73.3,73.3,73.3,175.0,0.13,NSE/DHUNINV
2011-07-15,73.5,73.5,73.5,73.5,73.5,125.0,0.09,NSE/DHUNINV
2011-07-18,74.0,75.0,74.0,74.2,74.2,888.0,0.66,NSE/DHUNINV
2011-07-19,74.9,75.5,74.9,75.5,75.5,67.0,0.05,NSE/DHUNINV
2011-07-20,74.75,76.4,74.75,76.4,76.4,150.0,0.11,NSE/DHUNINV
2011-07-21,73.8,76.9,73.8,75.0,75.0,711.0,0.54,NSE/DHUNINV
2011-07-22,75.0,76.0,74.4,75.4,75.4,394.0,0.3,NSE/DHUNINV
2011-07-25,79.15,79.15,76.2,79.15,79.15,376.0,0.29,NSE/DHUNINV
2011-07-26,84.6,84.6,75.0,76.5,76.8,1256.0,0.98,NSE/DHUNINV
2011-07-27,75.0,79.95,75.0,79.95,79.95,206.0,0.16,NSE/DHUNINV
2011-07-28,77.0,77.0,74.25,74.25,74.25,780.0,0.59,NSE/DHUNINV
2011-07-29,75.1,75.1,72.75,73.0,73.0,426.0,0.32,NSE/DHUNINV
2011-08-01,73.75,73.75,73.75,73.75,73.75,17.0,0.01,NSE/DHUNINV
2011-08-02,73.8,73.8,73.8,73.8,73.8,77.0,0.06,NSE/DHUNINV
2011-08-03,74.0,87.8,62.5,78.95,78.95,113.0,0.08,NSE/DHUNINV
