Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2004-09-06,132.15,135.45,132.15,132.9,132.9,1220.0,1.62,NSE/DICIND
2004-09-07,131.0,136.95,130.25,133.2,133.15,3278.0,4.37,NSE/DICIND
2004-09-08,134.95,137.5,132.0,135.0,133.55,5991.0,8.07,NSE/DICIND
2004-09-09,132.25,133.15,129.1,133.15,132.25,4460.0,5.85,NSE/DICIND
2004-09-10,131.95,132.8,131.1,132.75,132.75,875.0,1.16,NSE/DICIND
2004-09-13,133.0,138.9,133.0,136.0,136.1,10921.0,15.02,NSE/DICIND
2004-09-14,136.0,137.0,134.6,134.6,134.9,1660.0,2.25,NSE/DICIND
2004-09-15,134.9,134.9,131.4,131.4,132.05,1102.0,1.46,NSE/DICIND
2004-09-16,131.0,132.5,130.6,131.85,131.85,501.0,0.66,NSE/DICIND
2004-09-17,136.4,136.4,131.0,132.6,131.4,1433.0,1.89,NSE/DICIND
2004-09-20,132.0,134.35,130.75,130.8,130.8,1774.0,2.34,NSE/DICIND
2004-09-21,132.0,134.0,130.3,131.65,131.65,808.0,1.06,NSE/DICIND
2004-09-22,133.65,133.95,131.0,132.0,132.0,1209.0,1.6,NSE/DICIND
2004-09-23,133.85,134.0,130.55,132.55,132.55,1421.0,1.89,NSE/DICIND
2004-09-24,133.7,142.0,132.75,136.2,136.9,6521.0,8.97,NSE/DICIND
2004-09-27,136.2,139.9,134.0,138.0,135.1,3749.0,5.09,NSE/DICIND
2004-09-28,136.0,137.45,134.1,135.35,134.35,613.0,0.83,NSE/DICIND
2004-09-29,134.0,136.0,125.05,135.5,135.5,927.0,1.24,NSE/DICIND
2004-09-30,137.5,140.0,135.6,135.6,135.85,1198.0,1.65,NSE/DICIND
2004-10-01,137.0,137.0,134.05,135.0,134.4,1185.0,1.6,NSE/DICIND
2004-10-04,134.0,134.85,132.1,133.55,133.55,528.0,0.7,NSE/DICIND
2004-10-05,133.0,136.0,133.0,134.6,134.3,2431.0,3.25,NSE/DICIND
2004-10-06,134.9,147.75,134.9,144.0,143.8,18361.0,26.35,NSE/DICIND
2004-10-07,142.1,147.8,141.0,146.5,146.55,6473.0,9.41,NSE/DICIND
2004-10-08,145.0,145.1,142.1,144.85,143.95,2384.0,3.45,NSE/DICIND
2004-10-09,137.15,147.0,137.15,145.0,145.6,1328.0,1.93,NSE/DICIND
2004-10-11,142.0,143.25,141.05,141.25,142.45,1270.0,1.81,NSE/DICIND
2004-10-12,140.0,140.25,136.0,136.7,137.2,1082.0,1.5,NSE/DICIND
2004-10-14,137.0,137.25,135.0,135.05,135.05,737.0,1.0,NSE/DICIND
2004-10-15,137.0,137.9,135.3,135.3,135.75,250.0,0.34,NSE/DICIND
2004-10-18,137.0,139.95,136.1,136.15,136.15,757.0,1.04,NSE/DICIND
2004-10-19,137.15,137.5,136.5,137.5,137.5,132.0,0.18,NSE/DICIND
2004-10-20,136.5,136.5,135.0,136.5,136.5,770.0,1.05,NSE/DICIND
2004-10-21,131.15,137.0,131.15,132.1,135.75,569.0,0.76,NSE/DICIND
2004-10-25,132.1,134.0,132.0,134.0,133.15,440.0,0.58,NSE/DICIND
2004-10-26,134.95,134.95,129.55,132.8,130.7,352.0,0.46,NSE/DICIND
2004-10-27,130.0,134.95,130.0,134.75,134.05,809.0,1.08,NSE/DICIND
2004-10-28,134.9,135.0,134.9,135.0,134.95,300.0,0.4,NSE/DICIND
2004-10-29,135.0,135.0,133.5,134.0,134.0,641.0,0.86,NSE/DICIND
2004-11-01,133.0,134.0,132.0,134.0,133.65,1560.0,2.07,NSE/DICIND
2004-11-02,135.0,154.0,110.0,145.0,145.75,36752.0,52.9,NSE/DICIND
2004-11-03,150.25,152.8,146.1,147.8,147.3,5418.0,8.06,NSE/DICIND
2004-11-04,146.1,147.5,140.0,140.0,140.6,3363.0,4.79,NSE/DICIND
2004-11-05,139.55,149.4,139.55,147.0,146.85,6876.0,10.01,NSE/DICIND
2004-11-08,144.0,150.0,142.25,144.0,144.0,1651.0,2.4,NSE/DICIND
2004-11-09,143.0,143.0,140.1,140.1,140.1,658.0,0.92,NSE/DICIND
2004-11-10,142.2,144.7,141.0,143.0,143.2,2613.0,3.74,NSE/DICIND
2004-11-11,144.4,146.9,144.1,144.1,145.7,1350.0,1.96,NSE/DICIND
2004-11-12,140.0,142.0,139.1,142.0,142.0,102.0,0.14,NSE/DICIND
2004-11-16,145.0,145.0,140.1,144.95,144.85,2358.0,3.37,NSE/DICIND
2004-11-17,144.95,146.5,144.6,146.0,145.85,2100.0,3.06,NSE/DICIND
2004-11-18,147.0,155.95,144.55,150.9,149.25,9167.0,13.69,NSE/DICIND
2004-11-19,149.9,150.9,147.05,147.05,147.05,1850.0,2.77,NSE/DICIND
2004-11-22,146.0,150.0,146.0,146.1,146.1,810.0,1.19,NSE/DICIND
2004-11-23,147.15,149.75,145.5,145.5,145.85,2256.0,3.32,NSE/DICIND
2004-11-24,145.25,149.3,145.1,149.0,147.55,1490.0,2.2,NSE/DICIND
2004-11-25,142.0,148.5,142.0,146.4,144.3,5500.0,8.01,NSE/DICIND
2004-11-29,136.05,146.0,136.05,144.3,144.3,1241.0,1.77,NSE/DICIND
2004-11-30,147.1,173.2,147.1,173.2,173.2,57457.0,95.39,NSE/DICIND
2004-12-01,188.0,196.0,170.0,175.0,175.75,98459.0,181.6,NSE/DICIND
2004-12-02,181.6,181.6,164.25,170.2,170.55,19483.0,33.39,NSE/DICIND
2004-12-03,173.8,173.8,165.6,168.0,167.4,6507.0,10.97,NSE/DICIND
2004-12-06,166.65,167.0,164.0,164.0,164.15,1730.0,2.85,NSE/DICIND
2004-12-07,167.95,168.0,164.0,166.0,166.0,3477.0,5.8,NSE/DICIND
2004-12-08,166.0,169.0,162.0,162.1,164.9,3241.0,5.41,NSE/DICIND
2004-12-09,160.85,167.0,160.15,165.0,162.75,3200.0,5.2,NSE/DICIND
2004-12-10,165.0,178.9,165.0,165.15,166.55,7262.0,12.33,NSE/DICIND
2004-12-13,168.9,194.4,166.3,184.45,184.8,22480.0,40.43,NSE/DICIND
2004-12-14,187.0,189.9,180.15,180.35,181.85,17654.0,32.3,NSE/DICIND
2004-12-15,180.5,182.0,173.25,175.0,174.45,7425.0,13.13,NSE/DICIND
2004-12-16,171.25,177.0,171.05,171.6,172.3,4405.0,7.6,NSE/DICIND
2004-12-17,170.0,176.0,170.0,170.2,171.35,6735.0,11.61,NSE/DICIND
2004-12-20,169.0,171.35,169.0,169.25,169.9,2482.0,4.22,NSE/DICIND
2004-12-21,169.85,171.0,167.5,167.8,167.75,2431.0,4.11,NSE/DICIND
2004-12-22,167.8,169.05,165.0,165.0,165.65,860.0,1.44,NSE/DICIND
2004-12-23,163.1,168.7,163.1,166.0,167.0,1189.0,1.98,NSE/DICIND
2004-12-24,162.1,170.0,162.0,167.0,166.65,4690.0,7.83,NSE/DICIND
2004-12-27,166.0,169.8,165.65,167.0,167.0,1411.0,2.35,NSE/DICIND
2004-12-28,164.55,167.0,163.0,165.0,164.95,4286.0,7.07,NSE/DICIND
2004-12-29,165.3,166.9,164.5,166.9,166.9,514.0,0.85,NSE/DICIND
2004-12-30,170.0,170.0,164.0,164.0,165.4,2649.0,4.41,NSE/DICIND
2004-12-31,168.75,168.75,164.0,167.0,166.2,2213.0,3.68,NSE/DICIND
2005-01-03,169.0,174.0,169.0,170.0,170.75,5386.0,9.24,NSE/DICIND
2005-01-04,173.0,176.7,170.0,170.0,170.35,2927.0,5.06,NSE/DICIND
2005-01-05,171.05,172.8,163.0,163.0,163.65,3708.0,6.22,NSE/DICIND
2005-01-06,163.25,166.0,159.0,159.85,160.85,1547.0,2.5,NSE/DICIND
2005-01-07,163.0,163.5,157.05,157.5,160.15,825.0,1.33,NSE/DICIND
2005-01-10,164.2,164.2,159.5,159.5,160.5,1180.0,1.91,NSE/DICIND
2005-01-11,163.5,163.5,156.0,159.95,159.95,962.0,1.54,NSE/DICIND
2005-01-12,152.5,157.9,143.6,150.0,150.05,2037.0,3.12,NSE/DICIND
2005-01-13,150.0,157.0,150.0,157.0,155.0,757.0,1.16,NSE/DICIND
2005-01-14,155.0,159.0,150.0,150.1,152.2,2333.0,3.53,NSE/DICIND
2005-01-17,148.65,150.0,145.1,150.0,148.3,756.0,1.12,NSE/DICIND
2005-01-18,150.0,152.5,143.45,146.05,147.4,565.0,0.85,NSE/DICIND
2005-01-19,152.0,152.0,149.0,149.0,149.0,80.0,0.12,NSE/DICIND
2005-01-20,149.0,152.0,145.35,147.0,147.0,412.0,0.61,NSE/DICIND
2005-01-24,148.95,149.0,148.95,149.0,148.95,200.0,0.3,NSE/DICIND
2005-01-25,152.0,152.0,149.85,149.85,149.85,105.0,0.16,NSE/DICIND
2005-01-27,152.0,153.75,150.15,150.15,150.35,1034.0,1.57,NSE/DICIND
2005-01-28,151.9,154.95,151.9,154.95,154.45,86.0,0.13,NSE/DICIND
2005-01-31,150.0,157.9,135.0,156.0,154.05,1166.0,1.79,NSE/DICIND
2005-02-01,154.85,156.9,154.0,154.5,154.5,350.0,0.54,NSE/DICIND
2005-02-02,147.0,155.4,146.2,152.0,152.0,643.0,0.97,NSE/DICIND
2005-02-03,156.0,156.0,150.0,150.1,151.55,6136.0,9.26,NSE/DICIND
2005-02-04,151.6,155.0,151.6,155.0,154.95,2243.0,3.47,NSE/DICIND
2005-02-07,156.95,157.0,153.5,156.95,155.45,3151.0,4.91,NSE/DICIND
2005-02-08,155.0,159.0,153.75,156.5,156.85,1272.0,1.99,NSE/DICIND
2005-02-09,164.3,165.75,158.0,164.0,163.1,1779.0,2.89,NSE/DICIND
2005-02-10,164.0,168.0,162.1,165.4,165.4,2065.0,3.41,NSE/DICIND
2005-02-11,162.0,163.0,160.1,160.5,160.65,821.0,1.32,NSE/DICIND
2005-02-14,165.0,165.0,160.0,161.95,161.45,2554.0,4.14,NSE/DICIND
2005-02-15,158.6,159.75,158.55,159.75,159.75,676.0,1.07,NSE/DICIND
2005-02-16,156.1,159.95,155.0,155.0,155.45,739.0,1.16,NSE/DICIND
2005-02-17,152.15,157.0,152.15,153.6,154.95,1350.0,2.09,NSE/DICIND
2005-02-18,154.0,156.65,154.0,156.65,154.8,75.0,0.12,NSE/DICIND
2005-02-21,149.05,159.75,149.05,154.0,154.45,1206.0,1.89,NSE/DICIND
2005-02-22,154.0,158.2,153.2,155.8,155.1,1541.0,2.4,NSE/DICIND
2005-02-23,155.6,158.0,153.2,155.0,154.4,449.0,0.7,NSE/DICIND
2005-02-24,154.55,154.55,153.3,153.3,153.6,400.0,0.62,NSE/DICIND
2005-02-25,153.2,155.0,151.25,152.25,152.35,2340.0,3.58,NSE/DICIND
2005-02-28,154.9,154.9,150.0,154.9,154.9,341.0,0.52,NSE/DICIND
2005-03-01,154.0,158.75,154.0,155.9,155.05,2669.0,4.17,NSE/DICIND
2005-03-02,158.0,161.0,156.65,157.95,157.45,2406.0,3.79,NSE/DICIND
2005-03-03,159.0,166.0,158.0,163.45,163.15,5749.0,9.3,NSE/DICIND
2005-03-04,166.0,168.0,163.25,165.0,163.85,2204.0,3.66,NSE/DICIND
2005-03-07,165.85,167.0,160.0,161.6,161.85,4020.0,6.55,NSE/DICIND
2005-03-08,160.05,165.0,158.1,162.7,163.55,10891.0,17.78,NSE/DICIND
2005-03-09,162.5,163.0,156.0,158.0,158.0,1705.0,2.73,NSE/DICIND
2005-03-10,164.65,164.65,158.1,160.5,159.25,1513.0,2.41,NSE/DICIND
2005-03-11,160.0,160.0,156.0,159.9,159.9,1709.0,2.7,NSE/DICIND
2005-03-14,156.25,159.0,156.25,157.05,157.05,1175.0,1.85,NSE/DICIND
2005-03-15,158.0,158.0,152.05,155.5,154.4,13357.0,20.6,NSE/DICIND
2005-03-16,150.5,159.7,150.0,155.45,155.45,1524.0,2.36,NSE/DICIND
2005-03-17,150.0,160.0,149.0,158.4,155.35,4765.0,7.3,NSE/DICIND
2005-03-18,158.0,158.0,152.1,154.0,153.75,1114.0,1.72,NSE/DICIND
2005-03-21,152.35,155.0,152.0,152.45,152.35,747.0,1.14,NSE/DICIND
2005-03-22,150.65,154.9,148.05,148.1,148.1,900.0,1.35,NSE/DICIND
