Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2008-04-28,16.65,17.0,15.15,15.5,15.75,37522.0,5.98,NSE/DIGJAM
2008-04-29,15.5,17.35,15.5,17.1,17.25,119219.0,20.26,NSE/DIGJAM
2008-04-30,17.25,17.6,16.05,16.2,16.25,34040.0,5.68,NSE/DIGJAM
2008-05-02,16.05,16.4,15.75,16.1,15.85,34348.0,5.51,NSE/DIGJAM
2008-05-05,16.25,16.95,16.0,16.45,16.35,26419.0,4.33,NSE/DIGJAM
2008-05-06,16.45,16.75,16.1,16.45,16.45,18476.0,3.03,NSE/DIGJAM
2008-05-07,16.05,16.95,15.8,15.95,15.9,19227.0,3.11,NSE/DIGJAM
2008-05-08,16.35,16.35,15.55,16.15,16.0,15481.0,2.46,NSE/DIGJAM
2008-05-09,15.65,16.3,15.65,15.7,15.85,18488.0,2.96,NSE/DIGJAM
2008-05-12,15.6,15.8,15.5,15.55,15.6,20998.0,3.27,NSE/DIGJAM
2008-05-13,16.1,16.4,15.25,15.3,15.6,16139.0,2.56,NSE/DIGJAM
2008-05-14,15.3,15.95,15.3,15.6,15.75,9922.0,1.56,NSE/DIGJAM
2008-05-15,16.4,16.4,15.65,15.7,15.8,9882.0,1.57,NSE/DIGJAM
2008-05-16,15.55,16.0,15.4,15.55,15.8,12115.0,1.9,NSE/DIGJAM
2008-05-20,15.55,15.8,15.3,15.65,15.55,11829.0,1.83,NSE/DIGJAM
2008-05-21,15.25,16.6,15.25,16.0,16.15,16228.0,2.57,NSE/DIGJAM
2008-05-22,15.9,16.4,15.5,16.1,16.15,29136.0,4.7,NSE/DIGJAM
2008-05-23,15.95,16.35,15.6,15.8,15.8,23601.0,3.74,NSE/DIGJAM
2008-05-26,15.75,15.75,14.65,14.95,14.9,17583.0,2.67,NSE/DIGJAM
2008-05-27,14.6,15.0,14.4,14.6,14.5,23158.0,3.39,NSE/DIGJAM
2008-05-28,14.25,14.55,14.05,14.35,14.4,12193.0,1.74,NSE/DIGJAM
2008-05-29,14.45,14.55,13.9,13.9,14.0,17799.0,2.53,NSE/DIGJAM
2008-05-30,14.0,14.4,13.3,13.7,13.75,35742.0,4.91,NSE/DIGJAM
2008-06-02,13.95,14.9,13.65,13.9,13.9,17105.0,2.4,NSE/DIGJAM
2008-06-03,13.15,13.6,12.55,13.1,13.15,41876.0,5.46,NSE/DIGJAM
2008-06-04,13.05,13.2,12.8,13.2,12.95,14308.0,1.85,NSE/DIGJAM
2008-06-05,13.5,13.5,12.6,13.0,13.15,24733.0,3.22,NSE/DIGJAM
2008-06-06,13.0,13.5,12.9,13.2,13.05,3064.0,0.4,NSE/DIGJAM
2008-06-09,12.8,12.8,12.25,12.5,12.4,12202.0,1.52,NSE/DIGJAM
2008-06-10,12.5,12.85,12.05,12.45,12.35,26181.0,3.25,NSE/DIGJAM
2008-06-11,13.2,13.2,12.75,13.05,13.05,9850.0,1.28,NSE/DIGJAM
2008-06-12,12.8,13.1,12.5,12.95,13.0,5856.0,0.76,NSE/DIGJAM
2008-06-13,13.55,13.8,12.95,13.0,13.0,12610.0,1.67,NSE/DIGJAM
2008-06-16,13.95,13.95,13.1,13.1,13.15,5732.0,0.76,NSE/DIGJAM
2008-06-17,13.7,13.7,13.05,13.7,13.45,10240.0,1.38,NSE/DIGJAM
2008-06-18,13.0,14.45,13.0,13.6,13.45,33141.0,4.53,NSE/DIGJAM
2008-06-19,13.05,13.4,13.05,13.35,13.25,11557.0,1.53,NSE/DIGJAM
2008-06-20,13.05,13.3,12.5,12.6,12.8,31423.0,4.04,NSE/DIGJAM
2008-06-23,12.5,12.5,12.0,12.15,12.05,15117.0,1.85,NSE/DIGJAM
2008-06-24,12.0,12.4,11.6,11.95,11.7,23611.0,2.82,NSE/DIGJAM
2008-06-25,11.15,11.6,10.5,11.2,11.3,57807.0,6.46,NSE/DIGJAM
2008-06-26,11.7,12.25,11.4,11.8,11.75,27076.0,3.16,NSE/DIGJAM
2008-06-27,11.65,11.65,11.1,11.15,11.25,10392.0,1.17,NSE/DIGJAM
2008-06-30,11.3,11.5,10.3,10.4,10.4,17564.0,1.91,NSE/DIGJAM
2008-07-01,10.8,10.8,9.55,10.0,9.95,19078.0,1.92,NSE/DIGJAM
2008-07-02,9.4,9.9,8.05,9.35,9.5,83145.0,7.39,NSE/DIGJAM
2008-07-03,9.4,9.45,9.0,9.35,9.2,16652.0,1.54,NSE/DIGJAM
2008-07-04,9.1,9.95,9.0,9.9,9.6,15143.0,1.42,NSE/DIGJAM
2008-07-07,9.3,10.25,9.3,10.25,10.15,19852.0,1.98,NSE/DIGJAM
2008-07-08,9.75,10.0,9.5,10.0,9.95,10181.0,1.0,NSE/DIGJAM
2008-07-09,9.7,10.4,9.7,10.25,10.2,23680.0,2.42,NSE/DIGJAM
2008-07-10,10.65,10.65,10.15,10.3,10.35,14730.0,1.53,NSE/DIGJAM
2008-07-11,10.2,11.15,10.2,10.9,10.85,33201.0,3.59,NSE/DIGJAM
2008-07-14,10.5,10.5,10.15,10.15,10.15,8568.0,0.88,NSE/DIGJAM
2008-07-15,10.1,10.15,9.8,9.8,9.9,203010.0,20.17,NSE/DIGJAM
2008-07-16,10.1,10.35,9.05,9.15,9.15,24517.0,2.36,NSE/DIGJAM
2008-07-17,9.5,9.55,9.3,9.5,9.45,6871.0,0.65,NSE/DIGJAM
2008-07-18,9.3,9.85,9.3,9.65,9.6,8981.0,0.86,NSE/DIGJAM
2008-07-21,9.9,10.0,9.2,9.85,9.85,9160.0,0.89,NSE/DIGJAM
2008-07-22,10.0,10.0,9.4,9.9,9.9,10325.0,1.01,NSE/DIGJAM
2008-07-23,10.45,10.55,10.05,10.5,10.3,35582.0,3.66,NSE/DIGJAM
2008-07-24,10.0,10.85,9.55,10.3,10.3,9430.0,0.98,NSE/DIGJAM
2008-07-25,10.3,10.4,9.95,10.35,10.25,15650.0,1.6,NSE/DIGJAM
2008-07-28,10.35,11.0,10.1,10.8,10.7,16257.0,1.73,NSE/DIGJAM
2008-07-29,11.0,11.0,10.15,10.3,10.3,12290.0,1.28,NSE/DIGJAM
2008-07-30,10.3,10.85,10.2,10.8,10.75,27815.0,2.97,NSE/DIGJAM
2008-07-31,10.8,10.95,10.35,10.35,10.5,13399.0,1.43,NSE/DIGJAM
2008-08-01,10.0,10.8,10.0,10.4,10.5,4294.0,0.45,NSE/DIGJAM
2008-08-04,10.4,11.4,10.4,11.1,11.1,19696.0,2.16,NSE/DIGJAM
2008-08-05,11.5,11.5,10.9,11.35,11.25,12710.0,1.43,NSE/DIGJAM
2008-08-06,11.35,12.0,11.0,11.0,11.2,34048.0,3.9,NSE/DIGJAM
2008-08-07,11.0,11.45,10.95,11.25,11.25,8617.0,0.97,NSE/DIGJAM
2008-08-08,11.0,11.4,10.8,11.1,11.05,13528.0,1.5,NSE/DIGJAM
2008-08-11,11.95,11.95,10.65,10.9,11.1,16861.0,1.91,NSE/DIGJAM
