Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2016-07-27,15.4,15.7,13.6,13.85,13.95,322647.0,45.97,NSE/DIGJAMLTD
2016-07-28,14.15,14.9,13.5,13.8,13.75,309612.0,43.59,NSE/DIGJAMLTD
2016-07-29,14.2,14.2,13.3,13.5,13.45,147932.0,20.38,NSE/DIGJAMLTD
2016-08-01,14.25,14.25,12.55,13.5,13.3,167019.0,22.55,NSE/DIGJAMLTD
2016-08-02,13.1,13.7,12.95,13.3,13.15,167035.0,22.25,NSE/DIGJAMLTD
2016-08-03,13.0,13.3,12.1,12.3,12.25,110207.0,13.71,NSE/DIGJAMLTD
2016-08-04,12.25,12.95,11.6,11.85,11.85,100593.0,12.03,NSE/DIGJAMLTD
2016-08-05,11.65,12.25,11.65,11.8,11.8,82526.0,9.77,NSE/DIGJAMLTD
2016-08-08,11.8,12.2,11.65,11.85,11.7,100938.0,11.94,NSE/DIGJAMLTD
2016-08-09,11.6,11.85,10.35,11.0,10.9,223065.0,24.62,NSE/DIGJAMLTD
2016-08-10,11.0,11.1,10.5,10.6,10.7,79152.0,8.54,NSE/DIGJAMLTD
2016-08-11,10.35,10.85,10.15,10.35,10.25,78458.0,8.2,NSE/DIGJAMLTD
2016-08-12,10.25,11.45,10.25,10.7,10.8,116026.0,12.63,NSE/DIGJAMLTD
2016-08-16,11.2,11.55,10.25,10.55,10.45,68954.0,7.21,NSE/DIGJAMLTD
2016-08-17,10.55,10.9,10.15,10.85,10.55,61256.0,6.43,NSE/DIGJAMLTD
2016-08-18,10.5,10.95,10.4,10.5,10.55,25448.0,2.72,NSE/DIGJAMLTD
2016-08-19,10.4,10.8,10.3,10.5,10.4,55073.0,5.74,NSE/DIGJAMLTD
2016-08-22,10.4,10.7,10.1,10.25,10.25,42381.0,4.38,NSE/DIGJAMLTD
2016-08-23,10.5,11.0,10.2,10.5,10.5,93633.0,9.94,NSE/DIGJAMLTD
