Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2004-04-22,345.0,597.8,310.0,513.0,541.25,8929572.0,43305.05,NSE/DISHMAN
2004-04-23,540.0,579.0,451.0,482.0,469.0,5342624.0,27085.17,NSE/DISHMAN
2004-04-27,451.0,485.0,416.25,482.0,469.35,3484914.0,16050.52,NSE/DISHMAN
2004-04-28,480.0,504.0,466.0,476.95,477.3,2838154.0,13613.75,NSE/DISHMAN
2004-04-29,491.0,491.0,471.1,475.0,475.65,845228.0,4034.66,NSE/DISHMAN
2004-04-30,478.0,480.95,455.75,461.35,464.2,767598.0,3632.61,NSE/DISHMAN
2004-05-03,464.0,502.0,451.1,491.0,487.65,1465174.0,6962.62,NSE/DISHMAN
2004-05-04,490.0,507.8,487.1,490.1,491.6,1137748.0,5672.11,NSE/DISHMAN
2004-05-05,500.0,529.0,492.1,524.0,517.95,1718485.0,8782.44,NSE/DISHMAN
2004-05-06,525.0,534.1,515.15,515.15,518.8,623987.0,3264.22,NSE/DISHMAN
2004-05-07,520.5,520.5,485.25,488.05,491.1,743486.0,3754.1,NSE/DISHMAN
2004-05-10,490.0,505.25,472.05,502.0,496.95,620861.0,3050.6,NSE/DISHMAN
2004-05-11,495.0,495.0,475.0,490.05,486.45,544775.0,2643.16,NSE/DISHMAN
2004-05-12,488.0,501.9,485.0,487.85,489.55,296364.0,1461.42,NSE/DISHMAN
2004-05-13,461.0,514.0,422.0,512.0,505.85,460556.0,2295.02,NSE/DISHMAN
2004-05-14,509.8,516.3,430.0,469.0,472.95,427229.0,2066.84,NSE/DISHMAN
2004-05-17,465.0,468.0,379.0,409.0,417.1,170965.0,729.17,NSE/DISHMAN
2004-05-18,435.0,475.0,416.0,444.9,448.3,111613.0,495.33,NSE/DISHMAN
2004-05-19,466.9,469.0,442.5,449.9,449.3,122423.0,554.2,NSE/DISHMAN
2004-05-20,469.8,477.7,445.15,454.95,457.7,184991.0,857.81,NSE/DISHMAN
2004-05-21,450.0,457.0,435.1,448.65,450.9,81611.0,368.43,NSE/DISHMAN
2004-05-24,470.0,478.9,455.0,471.0,469.05,108287.0,507.14,NSE/DISHMAN
2004-05-25,455.0,469.9,455.0,460.0,462.0,63481.0,294.38,NSE/DISHMAN
2004-05-26,445.0,480.0,421.15,448.0,451.6,55585.0,255.83,NSE/DISHMAN
2004-05-27,446.0,466.0,446.0,458.0,455.75,74228.0,340.81,NSE/DISHMAN
2004-05-28,449.0,460.0,395.3,405.0,413.55,130582.0,566.7,NSE/DISHMAN
2004-05-31,409.0,409.0,367.25,383.45,382.3,236055.0,902.62,NSE/DISHMAN
2004-06-01,390.0,404.9,384.55,392.0,390.85,108533.0,428.41,NSE/DISHMAN
2004-06-02,392.0,397.0,375.1,383.5,381.3,84290.0,324.85,NSE/DISHMAN
2004-06-03,391.0,391.0,370.3,378.0,375.25,72449.0,276.06,NSE/DISHMAN
2004-06-04,375.0,390.0,368.0,390.0,383.0,47669.0,180.41,NSE/DISHMAN
2004-06-07,389.9,409.9,381.15,403.1,402.3,114419.0,456.98,NSE/DISHMAN
2004-06-08,409.9,421.95,400.0,420.55,415.25,106997.0,438.14,NSE/DISHMAN
