Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2007-07-05,526.6,583.95,526.6,568.0,569.8,78025942.0,434669.79,NSE/DLF
2007-07-06,568.0,586.45,568.0,570.4,573.6,13724278.0,79106.96,NSE/DLF
2007-07-09,574.1,581.0,571.5,572.1,574.7,4829804.0,27892.24,NSE/DLF
2007-07-10,575.0,580.0,568.6,570.3,571.75,5321889.0,30620.04,NSE/DLF
2007-07-11,570.0,594.4,567.0,592.0,590.75,8859610.0,51397.0,NSE/DLF
2007-07-12,595.0,616.5,595.0,610.0,610.75,10548513.0,64314.76,NSE/DLF
2007-07-13,616.0,625.0,597.2,600.0,601.05,6964521.0,42686.27,NSE/DLF
2007-07-16,605.7,614.5,602.2,610.55,610.9,3647160.0,22238.57,NSE/DLF
2007-07-17,614.9,619.9,605.15,616.0,612.65,4930170.0,30243.81,NSE/DLF
2007-07-18,615.0,649.0,615.0,648.1,643.4,11272734.0,71375.09,NSE/DLF
2007-07-19,657.3,664.7,631.25,646.0,646.15,14333158.0,93109.25,NSE/DLF
2007-07-20,646.0,658.0,643.0,648.0,646.8,5862319.0,38101.88,NSE/DLF
2007-07-23,648.0,679.0,642.0,675.0,672.4,5850767.0,38724.93,NSE/DLF
2007-07-24,677.0,678.85,653.15,654.0,656.9,6809825.0,45064.51,NSE/DLF
2007-07-25,654.0,654.0,629.35,637.4,637.15,4897509.0,31337.32,NSE/DLF
2007-07-26,601.55,649.9,601.55,633.0,633.3,6939654.0,44350.61,NSE/DLF
2007-07-27,628.6,628.6,578.0,603.5,599.7,9518445.0,57235.25,NSE/DLF
2007-07-30,604.9,617.0,590.0,604.6,603.6,4793278.0,29018.75,NSE/DLF
2007-07-31,607.5,616.85,595.6,613.6,612.2,4414624.0,26886.41,NSE/DLF
2007-08-01,609.95,609.95,581.0,585.95,585.15,5785919.0,34429.52,NSE/DLF
2007-08-02,579.8,600.0,579.8,587.8,586.95,3052788.0,18110.12,NSE/DLF
2007-08-03,593.5,605.5,593.0,598.35,601.85,3310944.0,19878.96,NSE/DLF
2007-08-06,560.0,589.9,560.0,582.0,580.65,3153730.0,18256.31,NSE/DLF
2007-08-07,590.0,599.85,587.15,588.5,588.7,2475707.0,14707.55,NSE/DLF
