Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2006-10-06,319.95,332.3,319.95,320.1,324.3,7564.0,24.83,NSE/DOLPHINOFF
2006-10-09,336.8,356.75,329.0,336.0,334.0,16980.0,58.69,NSE/DOLPHINOFF
2006-10-10,343.8,348.0,325.0,328.1,328.15,11135.0,37.42,NSE/DOLPHINOFF
2006-10-11,330.75,334.4,313.25,314.25,315.75,2563.0,8.24,NSE/DOLPHINOFF
2006-10-12,303.0,319.8,303.0,310.0,313.1,1082.0,3.37,NSE/DOLPHINOFF
2006-10-13,315.0,340.0,312.15,318.0,320.05,10160.0,33.04,NSE/DOLPHINOFF
2006-10-16,339.0,339.0,322.0,322.9,322.35,3143.0,10.25,NSE/DOLPHINOFF
2006-10-17,312.5,318.0,312.5,312.65,313.9,628.0,1.98,NSE/DOLPHINOFF
2006-10-18,310.0,315.0,308.0,308.0,308.85,747.0,2.32,NSE/DOLPHINOFF
2006-10-19,320.0,320.0,310.5,314.0,314.0,1176.0,3.69,NSE/DOLPHINOFF
2006-10-20,313.95,313.95,309.65,311.05,310.5,28.0,0.09,NSE/DOLPHINOFF
2006-10-21,325.0,325.0,316.0,323.4,319.9,281.0,0.9,NSE/DOLPHINOFF
2006-10-23,310.2,317.7,310.2,317.7,315.3,94.0,0.3,NSE/DOLPHINOFF
2006-10-26,346.4,346.85,345.8,346.85,346.85,1603.0,5.56,NSE/DOLPHINOFF
2006-10-27,381.5,381.55,365.0,366.1,369.5,34348.0,127.68,NSE/DOLPHINOFF
2006-10-30,368.0,378.0,361.1,373.1,371.7,11262.0,41.52,NSE/DOLPHINOFF
2006-10-31,375.1,378.15,348.1,355.0,353.1,10723.0,38.96,NSE/DOLPHINOFF
2006-11-01,353.25,360.0,333.05,346.0,346.35,29290.0,101.61,NSE/DOLPHINOFF
2006-11-02,357.0,357.0,339.95,346.9,344.85,9846.0,34.16,NSE/DOLPHINOFF
2006-11-03,355.1,364.95,350.15,364.9,359.45,11271.0,40.07,NSE/DOLPHINOFF
2006-11-06,364.0,368.0,355.0,355.1,359.2,8686.0,31.43,NSE/DOLPHINOFF
2006-11-07,358.0,368.0,355.0,357.9,356.8,5254.0,18.97,NSE/DOLPHINOFF
2006-11-08,358.4,370.0,346.0,359.0,353.75,16197.0,58.16,NSE/DOLPHINOFF
2006-11-09,355.0,360.0,348.2,359.9,354.85,6868.0,24.44,NSE/DOLPHINOFF
2006-11-10,355.0,359.0,339.0,343.0,340.65,2560.0,8.81,NSE/DOLPHINOFF
2006-11-13,335.1,345.0,335.1,340.3,342.0,1982.0,6.76,NSE/DOLPHINOFF
2006-11-14,340.4,341.95,330.0,333.0,332.85,2190.0,7.32,NSE/DOLPHINOFF
2006-11-15,333.05,334.95,330.0,330.55,331.5,1033.0,3.42,NSE/DOLPHINOFF
2006-11-16,335.8,335.8,326.0,330.8,328.95,1133.0,3.76,NSE/DOLPHINOFF
2006-11-17,327.05,328.95,321.0,324.0,324.6,1037.0,3.35,NSE/DOLPHINOFF
2006-11-20,321.55,330.0,312.0,317.1,317.2,4604.0,14.76,NSE/DOLPHINOFF
2006-11-21,314.0,327.0,314.0,325.95,326.45,1164.0,3.78,NSE/DOLPHINOFF
2006-11-22,330.0,339.4,322.2,329.5,326.6,1611.0,5.27,NSE/DOLPHINOFF
2006-11-23,330.0,331.5,325.0,326.0,325.75,1274.0,4.16,NSE/DOLPHINOFF
2006-11-24,325.55,329.0,318.55,319.5,320.2,1015.0,3.28,NSE/DOLPHINOFF
2006-11-27,316.0,324.75,306.1,318.0,316.45,2744.0,8.66,NSE/DOLPHINOFF
2006-11-28,301.4,324.8,301.4,315.0,314.45,1245.0,3.93,NSE/DOLPHINOFF
2006-11-29,322.95,331.95,317.25,324.4,322.6,1198.0,3.85,NSE/DOLPHINOFF
2006-11-30,309.05,320.0,309.0,314.95,312.9,1738.0,5.45,NSE/DOLPHINOFF
2006-12-01,320.75,321.0,313.8,314.0,315.85,735.0,2.33,NSE/DOLPHINOFF
2006-12-04,322.0,327.0,318.0,321.4,321.55,1273.0,4.11,NSE/DOLPHINOFF
2006-12-05,317.5,325.9,317.0,321.95,321.05,985.0,3.16,NSE/DOLPHINOFF
2006-12-06,320.0,322.5,316.0,319.0,318.25,934.0,2.97,NSE/DOLPHINOFF
2006-12-07,320.0,320.0,318.0,320.0,319.95,242.0,0.77,NSE/DOLPHINOFF
2006-12-08,319.9,322.0,312.2,321.0,320.1,2023.0,6.45,NSE/DOLPHINOFF
