Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2010-07-26,162.0,165.0,162.0,162.75,162.55,6104.0,9.93,NSE/DPTL
2010-07-27,161.7,163.6,161.0,163.6,163.0,784.0,1.27,NSE/DPTL
2010-07-28,161.0,164.75,161.0,162.65,162.65,4047.0,6.59,NSE/DPTL
2010-07-29,166.75,166.75,162.05,164.85,164.45,8230.0,13.51,NSE/DPTL
2010-07-30,162.2,164.5,162.2,163.1,164.2,3471.0,5.7,NSE/DPTL
2010-08-02,165.95,172.0,165.25,167.0,166.4,5037.0,8.46,NSE/DPTL
2010-08-03,166.05,175.0,166.05,173.7,172.85,18169.0,31.35,NSE/DPTL
2010-08-04,176.95,183.0,175.0,175.0,176.5,19779.0,35.38,NSE/DPTL
2010-08-05,180.0,180.0,174.0,176.0,176.2,4534.0,8.01,NSE/DPTL
2010-08-06,176.0,180.0,175.0,175.0,175.05,4071.0,7.23,NSE/DPTL
2010-08-09,181.0,181.0,174.05,176.0,175.3,3082.0,5.47,NSE/DPTL
2010-08-10,179.65,179.65,174.1,174.95,174.6,3175.0,5.58,NSE/DPTL
2010-08-11,174.7,176.7,173.0,173.5,173.7,2294.0,4.01,NSE/DPTL
2010-08-12,173.05,175.65,173.05,175.5,174.4,4113.0,7.16,NSE/DPTL
2010-08-13,173.0,174.0,161.0,170.5,171.6,78659.0,132.85,NSE/DPTL
2010-08-16,165.0,173.95,165.0,170.5,170.1,39479.0,66.9,NSE/DPTL
2010-08-17,171.5,174.4,166.1,166.1,167.45,35712.0,60.79,NSE/DPTL
2010-08-18,169.4,171.5,168.5,171.4,171.15,40326.0,68.84,NSE/DPTL
2010-08-19,169.25,172.25,167.5,168.0,167.95,19935.0,33.81,NSE/DPTL
2010-08-20,166.9,172.5,162.3,169.5,170.45,78332.0,133.45,NSE/DPTL
2010-08-23,169.9,174.0,168.4,170.2,170.35,41089.0,70.53,NSE/DPTL
2010-08-24,169.25,171.9,167.2,167.9,167.75,14239.0,24.0,NSE/DPTL
2010-08-25,170.0,170.0,165.35,166.4,166.7,18422.0,30.9,NSE/DPTL
2010-08-26,169.95,172.5,167.0,171.0,171.5,78921.0,134.64,NSE/DPTL
2010-08-27,170.0,173.0,169.1,170.25,170.4,85567.0,146.6,NSE/DPTL
2010-08-30,173.0,174.8,166.6,169.5,170.15,44777.0,76.11,NSE/DPTL
