Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2013-09-02,32.0,32.8,29.75,32.4,31.6,71768.0,22.22,NSE/DRDATSONS
2013-09-03,32.65,32.95,30.5,32.6,32.4,21431.0,6.87,NSE/DRDATSONS
2013-09-04,33.25,35.6,31.65,35.6,35.6,24201.0,8.47,NSE/DRDATSONS
2013-09-05,39.0,39.15,38.1,39.15,39.15,35539.0,13.87,NSE/DRDATSONS
2013-09-06,44.8,46.95,42.55,46.95,46.95,82155.0,37.52,NSE/DRDATSONS
2013-09-10,54.0,56.3,52.0,56.3,56.3,101939.0,55.73,NSE/DRDATSONS
2013-09-11,61.9,61.9,58.0,61.9,61.9,102865.0,62.56,NSE/DRDATSONS
2013-09-12,67.45,68.05,62.0,65.7,66.5,266716.0,177.91,NSE/DRDATSONS
2013-09-13,66.0,67.85,59.85,59.85,60.25,114632.0,69.92,NSE/DRDATSONS
2013-09-16,58.2,58.2,57.25,57.25,57.25,6847.0,3.93,NSE/DRDATSONS
2013-09-17,58.25,58.25,54.4,54.4,54.4,1004.0,0.55,NSE/DRDATSONS
2013-09-18,51.7,51.7,51.7,51.7,51.7,1230.0,0.64,NSE/DRDATSONS
2013-09-19,49.2,54.25,49.15,54.25,54.25,36727.0,19.15,NSE/DRDATSONS
2013-09-20,56.8,56.85,53.0,56.15,54.35,15923.0,8.73,NSE/DRDATSONS
2013-09-23,52.5,56.6,51.65,56.6,54.55,24874.0,13.25,NSE/DRDATSONS
2013-09-24,55.5,55.5,53.25,54.9,55.1,4592.0,2.51,NSE/DRDATSONS
2013-09-25,53.4,55.5,52.5,55.35,54.2,11285.0,6.06,NSE/DRDATSONS
2013-09-26,52.1,56.9,52.1,56.4,55.8,15439.0,8.62,NSE/DRDATSONS
2013-09-27,54.1,57.75,54.1,54.3,55.55,6574.0,3.64,NSE/DRDATSONS
2013-09-30,55.55,57.0,53.3,56.0,56.35,16649.0,9.2,NSE/DRDATSONS
2013-10-01,55.0,57.6,54.5,56.2,56.9,10624.0,6.0,NSE/DRDATSONS
2013-10-03,56.9,59.0,55.05,56.95,58.0,20444.0,11.73,NSE/DRDATSONS
2013-10-04,59.0,60.9,55.1,57.4,58.4,22936.0,13.21,NSE/DRDATSONS
2013-10-07,58.4,61.3,56.6,61.3,61.3,41055.0,24.95,NSE/DRDATSONS
2013-10-08,63.85,64.35,63.5,64.35,64.35,9664.0,6.21,NSE/DRDATSONS
2013-10-09,67.55,67.55,67.55,67.55,67.55,14365.0,9.7,NSE/DRDATSONS
2013-10-10,70.9,70.9,70.0,70.9,70.9,27793.0,19.7,NSE/DRDATSONS
2013-10-11,74.3,74.4,73.2,74.4,74.4,17983.0,13.35,NSE/DRDATSONS
2013-10-14,77.8,78.1,75.0,78.1,78.05,44499.0,34.58,NSE/DRDATSONS
2013-10-15,81.5,81.95,79.0,81.95,81.95,39749.0,32.46,NSE/DRDATSONS
2013-10-17,85.7,86.0,83.1,86.0,86.0,36104.0,31.0,NSE/DRDATSONS
2013-10-18,89.9,90.0,81.7,81.7,81.7,18336.0,15.91,NSE/DRDATSONS
2013-10-21,77.65,77.65,77.65,77.65,77.65,716.0,0.56,NSE/DRDATSONS
2013-10-22,73.8,81.5,73.8,79.5,78.55,38934.0,29.86,NSE/DRDATSONS
2013-10-23,75.0,79.1,74.65,74.65,74.65,14244.0,10.69,NSE/DRDATSONS
2013-10-24,70.95,76.0,70.95,73.5,73.0,12554.0,9.15,NSE/DRDATSONS
2013-10-25,71.1,72.45,70.0,70.15,70.9,12683.0,8.98,NSE/DRDATSONS
2013-10-28,70.0,71.5,67.4,67.4,67.4,15808.0,10.76,NSE/DRDATSONS
2013-10-29,64.05,69.95,64.05,64.1,64.5,47099.0,30.73,NSE/DRDATSONS
2013-10-30,67.5,67.7,62.15,67.7,67.7,13601.0,8.99,NSE/DRDATSONS
2013-10-31,67.1,71.05,67.1,71.05,71.05,4508.0,3.18,NSE/DRDATSONS
2013-11-01,74.6,74.6,74.6,74.6,74.6,3276.0,2.44,NSE/DRDATSONS
2013-11-03,78.3,78.3,78.3,78.3,78.3,1186.0,0.93,NSE/DRDATSONS
2013-11-05,82.2,82.2,82.2,82.2,82.2,12128.0,9.97,NSE/DRDATSONS
2013-11-06,86.3,86.3,79.5,83.0,82.75,79043.0,66.17,NSE/DRDATSONS
2013-11-07,84.05,84.05,78.65,78.65,78.9,36009.0,28.63,NSE/DRDATSONS
2013-11-08,77.7,79.85,77.7,78.6,78.55,4842.0,3.79,NSE/DRDATSONS
2013-11-11,75.1,82.45,75.1,82.45,82.45,6571.0,5.39,NSE/DRDATSONS
2013-11-12,86.55,86.55,83.5,86.3,86.0,105529.0,91.23,NSE/DRDATSONS
2013-11-13,88.8,89.0,81.7,81.7,81.7,3891.0,3.22,NSE/DRDATSONS
2013-11-14,79.4,81.0,77.65,80.0,79.55,23293.0,18.25,NSE/DRDATSONS
2013-11-18,79.05,83.5,79.05,81.25,80.4,13293.0,10.74,NSE/DRDATSONS
2013-11-19,80.0,81.9,77.65,80.0,80.25,5843.0,4.65,NSE/DRDATSONS
2013-11-20,82.0,83.4,78.0,80.0,80.0,9597.0,7.68,NSE/DRDATSONS
2013-11-21,78.5,80.0,77.5,77.6,78.2,7415.0,5.85,NSE/DRDATSONS
2013-11-22,78.2,79.5,78.0,78.0,78.2,5761.0,4.52,NSE/DRDATSONS
2013-11-25,78.2,79.3,76.15,79.1,77.8,4487.0,3.44,NSE/DRDATSONS
2013-11-26,76.05,78.3,76.0,76.8,76.75,7296.0,5.6,NSE/DRDATSONS
2013-11-27,74.05,77.4,74.05,75.55,75.5,11160.0,8.38,NSE/DRDATSONS
