Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2011-12-01,9.75,9.75,8.1,8.1,8.1,805.0,0.07,NSE/DSSL
2011-12-02,8.0,8.0,7.3,7.3,7.3,1350.0,0.1,NSE/DSSL
2011-12-05,6.6,6.6,6.6,6.6,6.6,798.0,0.05,NSE/DSSL
2011-12-07,6.0,6.0,5.95,5.95,5.95,2902.0,0.17,NSE/DSSL
2011-12-08,5.65,5.65,5.65,5.65,5.65,4196.0,0.24,NSE/DSSL
2011-12-09,5.85,5.9,5.4,5.9,5.9,3419.0,0.19,NSE/DSSL
2011-12-12,5.6,6.2,5.6,5.65,5.65,9240.0,0.53,NSE/DSSL
2011-12-13,5.9,5.9,5.5,5.5,5.5,1373.0,0.08,NSE/DSSL
2011-12-14,5.75,5.75,5.55,5.55,5.55,158.0,0.01,NSE/DSSL
2011-12-15,5.3,5.7,5.3,5.7,5.35,2797.0,0.15,NSE/DSSL
2011-12-16,5.3,5.35,5.25,5.25,5.25,660.0,0.03,NSE/DSSL
2011-12-19,5.15,5.15,5.0,5.0,5.0,1610.0,0.08,NSE/DSSL
2011-12-20,4.75,4.75,4.75,4.75,4.75,451.0,0.02,NSE/DSSL
2011-12-21,4.65,4.9,4.65,4.9,4.75,838.0,0.04,NSE/DSSL
2011-12-22,4.65,4.9,4.55,4.65,4.75,1260.0,0.06,NSE/DSSL
2011-12-23,4.55,4.95,4.55,4.65,4.65,398.0,0.02,NSE/DSSL
2011-12-26,4.55,4.65,4.55,4.65,4.65,581.0,0.03,NSE/DSSL
2011-12-27,4.85,4.85,4.85,4.85,4.85,4.0,0.0,NSE/DSSL
2011-12-29,4.65,4.7,4.65,4.7,4.7,48.0,0.0,NSE/DSSL
2012-01-02,4.5,4.9,4.5,4.55,4.6,88.0,0.0,NSE/DSSL
2012-01-03,4.8,4.8,4.8,4.8,4.8,20.0,0.0,NSE/DSSL
2012-01-04,4.6,5.0,4.6,4.8,4.9,450.0,0.02,NSE/DSSL
2012-01-05,5.0,5.15,5.0,5.0,5.0,906.0,0.05,NSE/DSSL
2012-01-06,4.6,5.25,4.5,5.25,5.25,740.0,0.03,NSE/DSSL
2012-01-07,5.75,5.75,5.6,5.6,5.6,320.0,0.02,NSE/DSSL
2012-01-09,5.05,5.05,5.05,5.05,5.05,1534.0,0.08,NSE/DSSL
2012-01-10,5.05,5.25,5.05,5.25,5.25,769.0,0.04,NSE/DSSL
2012-01-11,4.8,5.3,4.75,5.25,5.25,230.0,0.01,NSE/DSSL
2012-01-12,4.8,5.25,4.75,5.2,5.2,1536.0,0.08,NSE/DSSL
2012-01-13,5.2,5.2,4.75,5.15,5.15,6.0,0.0,NSE/DSSL
2012-01-16,4.85,5.0,4.75,4.75,4.8,366.0,0.02,NSE/DSSL
2012-01-17,4.75,4.75,4.75,4.75,4.75,541.0,0.03,NSE/DSSL
2012-01-18,4.3,4.75,4.3,4.75,4.75,260.0,0.01,NSE/DSSL
2012-01-19,4.75,4.95,4.4,4.95,4.95,3044.0,0.15,NSE/DSSL
2012-01-20,4.5,5.05,4.5,5.0,4.9,1923.0,0.1,NSE/DSSL
2012-01-23,4.9,5.35,4.55,5.35,5.35,1450.0,0.07,NSE/DSSL
2012-01-24,5.2,5.25,5.0,5.0,5.25,4545.0,0.24,NSE/DSSL
2012-01-27,5.1,5.4,5.1,5.2,5.2,1091.0,0.06,NSE/DSSL
2012-01-30,5.7,5.7,5.0,5.7,5.7,2727.0,0.15,NSE/DSSL
2012-01-31,6.1,6.1,5.2,6.0,5.9,2551.0,0.14,NSE/DSSL
2012-02-01,6.4,6.45,5.45,6.35,6.1,3007.0,0.18,NSE/DSSL
2012-02-02,5.7,6.45,5.5,5.8,5.55,7384.0,0.42,NSE/DSSL
2012-02-03,5.15,6.1,5.15,6.1,6.0,2780.0,0.17,NSE/DSSL
2012-02-06,6.5,6.5,5.85,6.5,6.35,6378.0,0.4,NSE/DSSL
2012-02-07,6.45,6.45,6.05,6.4,6.4,1820.0,0.11,NSE/DSSL
2012-02-08,6.5,7.0,6.4,7.0,7.0,15561.0,1.06,NSE/DSSL
2012-02-09,7.35,7.35,7.1,7.35,7.35,1740.0,0.13,NSE/DSSL
2012-02-10,7.35,7.7,7.35,7.7,7.7,2872.0,0.22,NSE/DSSL
2012-02-13,8.0,8.05,8.0,8.05,8.05,2298.0,0.18,NSE/DSSL
2012-02-14,8.45,8.45,8.0,8.45,8.45,5122.0,0.42,NSE/DSSL
2012-02-15,8.85,8.85,8.15,8.85,8.55,8243.0,0.69,NSE/DSSL
2012-02-16,8.3,8.7,8.15,8.15,8.15,6651.0,0.55,NSE/DSSL
2012-02-17,7.75,8.45,7.75,7.9,7.85,3621.0,0.29,NSE/DSSL
2012-02-21,7.85,7.85,7.55,7.6,7.6,3564.0,0.27,NSE/DSSL
2012-02-22,7.55,7.55,7.4,7.4,7.4,356.0,0.03,NSE/DSSL
2012-02-23,7.15,7.15,7.1,7.1,7.1,1029.0,0.07,NSE/DSSL
2012-02-24,6.75,7.05,6.75,6.8,6.9,1040.0,0.07,NSE/DSSL
2012-02-27,6.6,6.6,6.6,6.6,6.6,949.0,0.06,NSE/DSSL
2012-02-28,6.3,6.3,6.3,6.3,6.3,2412.0,0.15,NSE/DSSL
2012-02-29,6.0,6.0,6.0,6.0,6.0,2975.0,0.18,NSE/DSSL
2012-03-01,5.7,5.7,5.7,5.7,5.7,1470.0,0.08,NSE/DSSL
2012-03-02,5.95,5.95,5.95,5.95,5.95,52.0,0.0,NSE/DSSL
2012-03-03,6.15,6.15,6.15,6.15,6.15,2.0,0.0,NSE/DSSL
2012-03-05,6.25,6.25,6.25,6.25,6.25,1.0,0.0,NSE/DSSL
2012-03-06,6.45,6.45,6.45,6.45,6.45,1.0,0.0,NSE/DSSL
2012-03-07,6.25,6.25,6.25,6.25,6.25,200.0,0.01,NSE/DSSL
2012-03-09,6.1,6.1,6.1,6.1,6.1,100.0,0.01,NSE/DSSL
2012-03-12,6.35,6.4,6.35,6.4,6.4,170.0,0.01,NSE/DSSL
2012-03-13,6.7,6.7,6.1,6.1,6.1,695.0,0.04,NSE/DSSL
2012-03-14,5.8,6.4,5.8,6.35,5.8,538.0,0.03,NSE/DSSL
2012-03-15,5.55,6.0,5.55,5.55,5.55,471.0,0.03,NSE/DSSL
2012-03-16,5.8,5.8,5.6,5.6,5.6,1452.0,0.08,NSE/DSSL
2012-03-19,5.6,5.6,5.6,5.6,5.6,9.0,0.0,NSE/DSSL
2012-03-26,5.35,5.35,5.35,5.35,5.35,150.0,0.01,NSE/DSSL
2012-03-27,5.1,5.1,5.1,5.1,5.1,1000.0,0.05,NSE/DSSL
2012-03-28,5.0,5.0,4.85,4.85,4.85,1100.0,0.05,NSE/DSSL
2012-03-29,4.7,4.7,4.65,4.65,4.65,2766.0,0.13,NSE/DSSL
2012-03-30,4.45,4.45,4.45,4.45,4.45,80.0,0.0,NSE/DSSL
2012-04-02,4.35,4.35,4.35,4.35,4.35,225.0,0.01,NSE/DSSL
2012-04-03,4.55,4.55,4.55,4.55,4.55,1581.0,0.07,NSE/DSSL
2012-04-04,4.55,4.55,4.55,4.55,4.55,128.0,0.01,NSE/DSSL
2012-04-09,4.6,4.6,4.35,4.5,4.5,591.0,0.03,NSE/DSSL
2012-04-10,4.4,4.4,4.4,4.4,4.4,360.0,0.02,NSE/DSSL
2012-04-12,4.6,4.6,4.4,4.4,4.4,130.0,0.01,NSE/DSSL
2012-04-13,4.35,4.35,4.3,4.3,4.3,230.0,0.01,NSE/DSSL
2012-04-16,4.3,4.35,4.3,4.35,4.35,834.0,0.04,NSE/DSSL
2012-04-17,4.15,4.15,4.15,4.15,4.15,4.0,0.0,NSE/DSSL
2012-04-18,4.35,4.35,4.15,4.15,4.15,1062.0,0.05,NSE/DSSL
2012-04-19,4.1,4.1,4.1,4.1,4.1,172.0,0.01,NSE/DSSL
2012-04-20,4.25,4.25,4.25,4.25,4.25,160.0,0.01,NSE/DSSL
2012-04-23,4.25,4.25,4.25,4.25,4.25,130.0,0.01,NSE/DSSL
2012-04-24,4.25,4.25,4.25,4.25,4.25,940.0,0.04,NSE/DSSL
2012-04-25,4.25,4.25,4.25,4.25,4.25,112.0,0.0,NSE/DSSL
2012-04-26,4.2,4.2,4.2,4.2,4.2,420.0,0.02,NSE/DSSL
2012-04-27,4.05,4.05,4.05,4.05,4.05,804.0,0.03,NSE/DSSL
2012-04-30,3.85,4.05,3.85,3.85,3.85,9920.0,0.39,NSE/DSSL
