Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2008-01-11,177.3,177.35,161.15,170.8,173.4,7777.0,13.39,NSE/DTIL
2008-01-14,170.05,170.05,170.0,170.0,170.0,100.0,0.17,NSE/DTIL
2008-01-15,172.5,172.5,170.0,170.0,170.0,446.0,0.76,NSE/DTIL
2008-01-16,170.0,170.0,170.0,170.0,170.0,1.0,0.0,NSE/DTIL
2008-01-17,177.95,178.5,177.95,178.5,178.5,410.0,0.73,NSE/DTIL
2008-01-18,170.0,173.0,170.0,173.0,172.9,850.0,1.45,NSE/DTIL
2008-02-07,168.5,168.5,168.5,168.5,168.5,1.0,0.0,NSE/DTIL
2008-02-18,168.0,168.0,168.0,168.0,168.0,1.0,0.0,NSE/DTIL
2008-04-09,103.45,103.45,103.45,103.45,103.45,80.0,0.08,NSE/DTIL
2008-04-10,108.65,108.65,108.65,108.65,108.65,100.0,0.11,NSE/DTIL
2008-04-11,113.1,113.1,113.1,113.1,113.1,25.0,0.03,NSE/DTIL
2008-04-15,114.0,118.8,114.0,114.0,114.0,51.0,0.06,NSE/DTIL
2008-04-21,116.0,116.0,116.0,116.0,116.0,5.0,0.01,NSE/DTIL
2008-04-22,115.0,119.9,110.75,110.75,110.75,112.0,0.13,NSE/DTIL
2008-04-23,105.65,116.25,105.6,107.0,107.0,85.0,0.09,NSE/DTIL
2008-04-24,111.0,111.0,111.0,111.0,111.0,100.0,0.11,NSE/DTIL
2008-04-28,115.95,116.0,109.05,110.05,110.05,62.0,0.07,NSE/DTIL
2008-05-05,115.45,115.5,115.45,115.5,115.5,150.0,0.17,NSE/DTIL
2008-05-06,113.95,113.95,111.0,111.0,111.0,50.0,0.06,NSE/DTIL
2008-05-07,112.0,112.0,107.05,107.05,107.05,55.0,0.06,NSE/DTIL
2008-05-08,116.45,116.45,108.25,115.5,115.5,121.0,0.14,NSE/DTIL
2008-05-09,115.4,115.5,106.15,111.0,111.0,477.0,0.54,NSE/DTIL
2008-05-12,105.95,106.0,105.95,106.0,106.0,140.0,0.15,NSE/DTIL
2008-05-16,115.95,115.95,115.95,115.95,115.95,50.0,0.06,NSE/DTIL
2008-05-20,116.0,116.0,116.0,116.0,116.0,50.0,0.06,NSE/DTIL
2008-05-21,126.0,126.0,126.0,126.0,126.0,220.0,0.28,NSE/DTIL
2008-05-22,120.5,128.0,120.5,121.0,121.0,215.0,0.27,NSE/DTIL
2008-05-23,122.0,123.0,122.0,123.0,123.0,250.0,0.31,NSE/DTIL
2008-05-26,113.0,115.0,113.0,115.0,115.0,45.0,0.05,NSE/DTIL
2008-05-27,114.5,118.0,110.0,110.1,110.1,152.0,0.17,NSE/DTIL
2008-05-28,121.0,121.0,110.1,121.0,121.0,11.0,0.01,NSE/DTIL
2008-05-29,115.0,115.0,115.0,115.0,115.0,67.0,0.08,NSE/DTIL
2008-05-30,112.0,119.5,111.0,119.5,119.5,103.0,0.12,NSE/DTIL
2008-06-02,110.0,115.0,109.05,109.05,109.9,108.0,0.12,NSE/DTIL
2008-06-03,108.8,108.8,101.0,101.0,101.0,310.0,0.32,NSE/DTIL
2008-06-04,104.15,104.15,104.1,104.1,104.1,100.0,0.1,NSE/DTIL
2008-06-09,101.05,105.0,101.05,105.0,105.0,125.0,0.13,NSE/DTIL
2008-06-10,95.4,104.95,95.3,96.1,96.1,78.0,0.07,NSE/DTIL
2008-06-11,102.5,102.5,96.35,96.35,96.35,10.0,0.01,NSE/DTIL
2008-06-13,93.05,98.05,93.0,97.8,97.8,102.0,0.09,NSE/DTIL
2008-06-17,90.05,99.05,90.0,99.0,99.05,180.0,0.17,NSE/DTIL
2008-06-20,94.0,94.05,94.0,94.0,94.0,105.0,0.1,NSE/DTIL
2008-06-23,92.5,93.0,92.5,92.5,92.5,91.0,0.08,NSE/DTIL
2008-06-27,99.85,99.9,84.05,84.15,91.15,241.0,0.24,NSE/DTIL
2008-06-30,87.0,87.5,84.2,87.5,87.5,63.0,0.05,NSE/DTIL
2008-07-01,95.4,95.45,95.4,95.45,95.45,8.0,0.01,NSE/DTIL
2008-07-04,90.0,90.0,90.0,90.0,90.0,25.0,0.02,NSE/DTIL
2008-07-07,90.0,90.0,89.0,89.0,89.0,6.0,0.01,NSE/DTIL
2008-07-09,83.9,83.9,83.9,83.9,83.9,75.0,0.06,NSE/DTIL
2008-07-11,100.0,100.0,82.0,82.0,90.15,174.0,0.16,NSE/DTIL
2008-07-14,103.0,103.0,78.0,85.0,85.0,151.0,0.14,NSE/DTIL
2008-07-15,85.0,101.0,76.0,76.0,76.0,135.0,0.12,NSE/DTIL
2008-07-17,91.0,91.0,76.15,76.15,76.15,300.0,0.25,NSE/DTIL
2008-07-18,91.0,91.0,80.9,80.9,85.95,200.0,0.17,NSE/DTIL
2008-07-21,69.05,102.95,69.05,101.0,99.05,916.0,0.89,NSE/DTIL
2008-07-22,98.0,102.0,91.0,91.0,96.15,715.0,0.7,NSE/DTIL
2008-07-23,94.15,101.0,85.05,101.0,101.0,255.0,0.24,NSE/DTIL
2008-07-24,90.0,99.5,90.0,91.2,91.2,150.0,0.14,NSE/DTIL
2008-07-25,99.95,103.0,91.0,91.95,97.05,802.0,0.8,NSE/DTIL
2008-07-29,116.0,116.0,96.0,96.0,106.0,100.0,0.11,NSE/DTIL
2008-07-30,113.95,113.95,103.0,103.0,108.05,207.0,0.22,NSE/DTIL
2008-07-31,113.95,115.0,96.1,102.55,103.55,324.0,0.35,NSE/DTIL
2008-08-01,115.5,124.3,104.9,112.0,112.0,710.0,0.8,NSE/DTIL
2008-08-04,114.0,124.0,111.0,124.0,117.3,309.0,0.36,NSE/DTIL
2008-08-05,121.5,121.5,113.5,113.5,117.5,360.0,0.42,NSE/DTIL
2008-08-06,137.0,137.0,115.0,117.0,117.0,163.0,0.19,NSE/DTIL
2008-08-07,105.0,130.0,105.0,117.0,117.0,168.0,0.2,NSE/DTIL
2008-08-08,110.0,123.95,110.0,114.0,114.0,319.0,0.38,NSE/DTIL
2008-08-11,115.0,122.95,106.0,120.0,117.35,514.0,0.59,NSE/DTIL
2008-08-12,116.0,125.0,116.0,124.5,124.5,550.0,0.67,NSE/DTIL
2008-08-13,149.0,149.0,105.0,121.95,121.95,860.0,1.06,NSE/DTIL
2008-08-18,121.0,130.0,106.5,130.0,115.5,401.0,0.46,NSE/DTIL
2008-08-19,129.5,129.5,107.3,113.0,113.0,1916.0,2.22,NSE/DTIL
2008-08-20,124.6,124.6,110.15,110.6,112.35,812.0,0.95,NSE/DTIL
2008-08-21,110.6,110.6,108.1,108.1,108.1,140.0,0.15,NSE/DTIL
2008-12-01,70.65,70.65,70.65,70.65,70.65,148.0,0.1,NSE/DTIL
2008-12-02,67.15,68.5,67.15,68.5,68.5,11.0,0.01,NSE/DTIL
2008-12-03,65.25,65.25,65.1,65.1,65.1,300.0,0.2,NSE/DTIL
2008-12-04,68.4,68.4,68.4,68.4,68.4,11.0,0.01,NSE/DTIL
2008-12-05,66.0,66.0,66.0,66.0,66.0,50.0,0.03,NSE/DTIL
2008-12-12,69.3,69.3,69.3,69.3,69.3,100.0,0.07,NSE/DTIL
2008-12-15,69.3,72.8,65.85,72.8,72.8,366.0,0.25,NSE/DTIL
2008-12-16,71.35,71.35,71.1,71.1,71.1,30.0,0.02,NSE/DTIL
2008-12-17,74.6,74.7,74.2,74.7,74.7,208.0,0.16,NSE/DTIL
2008-12-19,78.45,78.45,76.15,76.15,76.15,113.0,0.09,NSE/DTIL
2008-12-22,79.9,80.0,79.9,80.0,80.0,105.0,0.08,NSE/DTIL
