Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2016-04-21,16.05,17.7,15.55,16.05,15.9,16.24,52010.0,NSE/DUCON
2016-04-22,15.7,16.25,15.65,15.95,15.8,15.88,24683.0,NSE/DUCON
2016-04-25,15.9,16.3,15.55,15.9,15.9,15.87,31894.0,NSE/DUCON
2016-04-26,15.6,16.05,15.3,15.75,15.75,15.77,31644.0,NSE/DUCON
2016-04-27,16.65,16.7,15.1,16.0,15.9,15.81,53610.0,NSE/DUCON
2016-04-28,16.0,16.0,15.5,15.6,15.55,15.72,35870.0,NSE/DUCON
2016-04-29,15.6,15.8,15.3,15.4,15.6,15.52,19182.0,NSE/DUCON
2016-05-02,15.6,15.95,15.45,15.7,15.55,15.67,31612.0,NSE/DUCON
2016-05-03,15.5,15.95,15.4,15.55,15.55,15.58,33709.0,NSE/DUCON
2016-05-04,16.0,16.0,15.0,15.75,15.65,15.54,84299.0,NSE/DUCON
2016-05-05,15.4,15.85,15.2,15.6,15.5,15.58,96421.0,NSE/DUCON
2016-05-06,15.35,15.8,15.3,15.7,15.55,15.55,29638.0,NSE/DUCON
2016-05-09,15.45,15.8,15.45,15.5,15.55,15.64,70748.0,NSE/DUCON
2016-05-10,15.75,15.8,15.4,15.55,15.55,15.63,56281.0,NSE/DUCON
2016-05-11,15.4,15.7,15.15,15.2,15.35,84800.0,13.09,NSE/DUCON
2016-05-12,15.3,15.4,14.8,15.15,15.05,24444.0,3.71,NSE/DUCON
2016-05-13,14.85,15.0,14.35,14.35,14.5,38439.0,5.63,NSE/DUCON
2016-05-16,15.45,15.45,14.1,15.15,14.85,15911.0,2.35,NSE/DUCON
2016-05-17,15.0,15.15,14.6,14.95,14.9,13973.0,2.08,NSE/DUCON
2016-05-18,15.05,15.05,14.4,14.45,14.75,20420.0,3.01,NSE/DUCON
2016-05-19,15.65,15.65,14.5,14.7,14.7,19950.0,2.98,NSE/DUCON
2016-05-20,14.15,15.25,14.15,15.0,15.15,18005.0,2.69,NSE/DUCON
2016-05-23,14.55,15.3,14.55,14.95,14.8,25034.0,3.73,NSE/DUCON
2016-05-24,14.9,15.15,13.5,15.15,15.1,25138.0,3.67,NSE/DUCON
