Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,17.8,18.5,17.8,18.5,18.5,600.0,0.11,NSE/DUNCANSIND
2001-01-02,18.5,18.5,17.8,17.9,17.9,4700.0,0.85,NSE/DUNCANSIND
2001-01-03,18.15,19.0,18.15,19.0,18.95,2000.0,0.37,NSE/DUNCANSIND
2001-01-04,18.5,19.3,18.5,18.65,18.65,400.0,0.08,NSE/DUNCANSIND
2001-01-05,18.4,18.55,17.5,18.55,18.55,4400.0,0.81,NSE/DUNCANSIND
2001-01-08,18.3,18.3,18.3,18.3,18.3,700.0,0.13,NSE/DUNCANSIND
2001-01-09,18.3,18.5,18.0,18.5,18.5,700.0,0.13,NSE/DUNCANSIND
2001-01-10,18.8,19.45,18.3,18.3,18.75,6000.0,1.13,NSE/DUNCANSIND
2001-01-11,18.4,18.95,18.35,18.9,18.9,3700.0,0.68,NSE/DUNCANSIND
2001-01-12,19.4,19.5,18.9,18.95,18.95,800.0,0.15,NSE/DUNCANSIND
2001-01-15,19.2,19.2,18.75,18.75,18.75,200.0,0.04,NSE/DUNCANSIND
2001-01-16,18.75,18.75,18.3,18.3,18.3,1500.0,0.28,NSE/DUNCANSIND
2001-01-17,17.5,18.4,17.25,18.4,18.4,2000.0,0.35,NSE/DUNCANSIND
2001-01-18,18.95,18.95,18.95,18.95,18.95,200.0,0.04,NSE/DUNCANSIND
2001-01-19,19.35,19.4,18.8,19.15,19.15,1300.0,0.25,NSE/DUNCANSIND
2001-01-22,19.0,21.0,19.0,19.5,19.5,1800.0,0.36,NSE/DUNCANSIND
2001-01-23,17.1,20.45,17.1,20.45,20.25,2300.0,0.46,NSE/DUNCANSIND
2001-01-24,20.0,20.0,19.7,19.7,19.75,800.0,0.16,NSE/DUNCANSIND
2001-01-25,20.0,20.2,20.0,20.2,20.2,400.0,0.08,NSE/DUNCANSIND
2001-01-29,20.25,20.25,19.0,19.0,19.0,900.0,0.18,NSE/DUNCANSIND
2001-01-30,19.0,19.0,19.0,19.0,19.0,400.0,0.08,NSE/DUNCANSIND
2001-01-31,20.0,20.0,19.0,19.0,19.0,400.0,0.08,NSE/DUNCANSIND
2001-02-01,18.6,18.6,17.75,18.4,18.1,1700.0,0.31,NSE/DUNCANSIND
2001-02-02,17.25,18.2,17.25,18.2,18.2,700.0,0.13,NSE/DUNCANSIND
2001-02-05,18.0,18.15,18.0,18.0,18.0,2600.0,0.47,NSE/DUNCANSIND
