Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2004-12-31,90.0,136.5,90.0,130.3,133.0,7928410.0,10019.97,NSE/DWARKESH
2005-01-03,135.0,154.75,132.3,146.7,148.6,5713657.0,8333.45,NSE/DWARKESH
2005-01-04,145.0,152.5,136.1,138.4,137.85,2243230.0,3262.11,NSE/DWARKESH
2005-01-05,138.5,147.45,124.25,134.05,134.25,3079251.0,4243.46,NSE/DWARKESH
2005-01-06,130.05,157.9,130.05,147.5,146.65,4092001.0,6001.77,NSE/DWARKESH
2005-01-07,138.7,151.4,138.7,150.0,148.0,1501811.0,2205.95,NSE/DWARKESH
2005-01-10,152.0,158.4,147.55,148.05,149.65,1270071.0,1953.3,NSE/DWARKESH
2005-01-11,149.65,157.0,147.0,153.85,152.45,1194304.0,1819.23,NSE/DWARKESH
2005-01-12,154.5,156.25,142.3,149.05,148.4,1032497.0,1554.04,NSE/DWARKESH
2005-01-13,151.5,154.5,150.05,152.05,152.45,403948.0,613.92,NSE/DWARKESH
2005-01-14,153.8,164.85,148.25,154.65,154.05,1704603.0,2699.24,NSE/DWARKESH
2005-01-17,156.2,156.2,144.0,145.0,145.6,490737.0,725.47,NSE/DWARKESH
2005-01-18,146.5,148.0,142.5,144.2,143.95,323999.0,470.72,NSE/DWARKESH
2005-01-19,145.8,150.5,143.05,144.0,143.75,415969.0,609.94,NSE/DWARKESH
2005-01-20,143.75,144.8,134.0,139.4,139.9,249333.0,349.8,NSE/DWARKESH
2005-01-24,141.45,142.7,136.55,137.1,138.05,185877.0,259.83,NSE/DWARKESH
2005-01-25,138.25,139.9,136.1,138.2,138.1,111954.0,154.82,NSE/DWARKESH
2005-01-27,139.6,146.0,137.8,144.7,143.9,336178.0,479.47,NSE/DWARKESH
2005-01-28,145.0,166.3,144.1,162.5,162.9,1529774.0,2406.89,NSE/DWARKESH
2005-01-31,160.05,170.8,158.15,161.1,162.4,1314669.0,2170.99,NSE/DWARKESH
2005-02-01,162.5,168.45,161.3,162.9,163.4,851264.0,1404.43,NSE/DWARKESH
2005-02-02,165.0,173.9,163.5,167.0,167.35,1183225.0,1992.77,NSE/DWARKESH
2005-02-03,169.4,173.7,162.6,170.0,170.8,1180220.0,1995.09,NSE/DWARKESH
2005-02-04,170.0,202.7,165.5,185.55,185.65,3788283.0,7030.92,NSE/DWARKESH
2005-02-07,187.0,193.4,179.2,180.5,181.65,2019242.0,3764.33,NSE/DWARKESH
2005-02-08,182.0,188.5,178.4,183.2,182.85,929268.0,1708.43,NSE/DWARKESH
2005-02-09,184.9,185.0,176.55,177.0,178.2,380518.0,690.5,NSE/DWARKESH
2005-02-10,179.0,188.9,170.0,181.85,182.9,747098.0,1332.28,NSE/DWARKESH
2005-02-11,182.1,189.9,179.0,180.95,181.65,865367.0,1600.58,NSE/DWARKESH
2005-02-14,183.9,187.6,178.5,179.95,179.75,379226.0,694.3,NSE/DWARKESH
2005-02-15,181.4,187.45,175.15,176.55,177.5,1025699.0,1867.51,NSE/DWARKESH
2005-02-16,178.9,181.45,170.15,170.35,171.55,621822.0,1097.12,NSE/DWARKESH
2005-02-17,171.0,172.4,164.6,165.5,166.15,412676.0,692.48,NSE/DWARKESH
2005-02-18,168.0,176.75,167.5,172.8,172.9,856913.0,1485.52,NSE/DWARKESH
2005-02-21,174.9,174.9,165.55,166.0,166.95,325011.0,553.5,NSE/DWARKESH
2005-02-22,167.5,168.95,164.2,165.55,165.3,277895.0,461.69,NSE/DWARKESH
2005-02-23,166.4,173.0,164.0,168.5,167.35,432981.0,729.22,NSE/DWARKESH
2005-02-24,168.0,171.25,164.15,165.9,165.55,230861.0,387.09,NSE/DWARKESH
2005-02-25,166.95,168.7,157.3,158.5,159.2,231139.0,377.29,NSE/DWARKESH
2005-02-28,158.0,190.0,153.0,186.0,186.85,2055908.0,3698.97,NSE/DWARKESH
2005-03-01,188.0,188.0,172.2,173.0,173.15,1299914.0,2316.29,NSE/DWARKESH
2005-03-02,173.5,178.5,172.45,174.0,173.35,564176.0,988.6,NSE/DWARKESH
2005-03-03,173.95,176.0,172.1,174.2,174.2,293036.0,511.51,NSE/DWARKESH
2005-03-04,175.7,178.5,170.0,170.5,171.25,277582.0,483.98,NSE/DWARKESH
2005-03-07,171.9,173.4,168.05,169.5,169.25,199302.0,338.66,NSE/DWARKESH
2005-03-08,170.3,177.0,166.75,171.6,170.55,306840.0,527.7,NSE/DWARKESH
2005-03-09,171.0,174.25,161.5,162.5,163.05,217618.0,363.74,NSE/DWARKESH
2005-03-10,162.7,166.9,160.3,160.7,162.05,186651.0,305.9,NSE/DWARKESH
2005-03-11,170.0,170.0,160.55,160.85,161.35,232453.0,382.59,NSE/DWARKESH
2005-03-14,164.0,167.4,158.5,162.8,163.85,198528.0,322.21,NSE/DWARKESH
2005-03-15,164.25,180.4,162.2,171.0,170.4,1800015.0,3110.67,NSE/DWARKESH
2005-03-16,172.1,173.5,162.65,164.45,164.1,377436.0,634.73,NSE/DWARKESH
2005-03-17,163.0,164.4,156.5,157.1,158.55,235577.0,380.74,NSE/DWARKESH
2005-03-18,158.9,162.7,156.1,159.5,158.9,302651.0,481.6,NSE/DWARKESH
2005-03-21,160.9,163.7,155.1,155.95,155.95,165395.0,263.14,NSE/DWARKESH
2005-03-22,156.9,158.65,147.1,147.5,147.9,193777.0,297.54,NSE/DWARKESH
2005-03-23,148.8,149.4,140.0,140.5,141.55,178191.0,257.76,NSE/DWARKESH
2005-03-24,142.0,145.9,132.0,145.4,141.7,318410.0,444.06,NSE/DWARKESH
