Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-02,30.9,31.0,28.3,28.3,28.3,560.0,0.17,NSE/DYNAMATECH
2001-01-03,28.05,29.4,28.05,29.4,29.0,699.0,0.2,NSE/DYNAMATECH
2001-01-04,29.0,29.0,28.6,28.6,28.6,432.0,0.13,NSE/DYNAMATECH
2001-01-05,30.0,30.0,29.0,29.0,29.25,139.0,0.04,NSE/DYNAMATECH
2001-01-08,28.05,28.05,28.05,28.05,28.05,21.0,0.01,NSE/DYNAMATECH
2001-01-09,28.25,29.0,28.0,29.0,29.0,550.0,0.16,NSE/DYNAMATECH
2001-01-11,29.95,30.0,29.95,30.0,30.0,100.0,0.03,NSE/DYNAMATECH
2001-01-15,27.95,27.95,27.8,27.8,27.8,355.0,0.1,NSE/DYNAMATECH
2001-01-17,26.0,27.25,26.0,26.25,26.25,3381.0,0.88,NSE/DYNAMATECH
2001-01-18,28.2,28.25,28.2,28.25,28.25,200.0,0.06,NSE/DYNAMATECH
2001-01-19,28.1,28.95,28.1,28.9,28.9,3040.0,0.88,NSE/DYNAMATECH
2001-01-24,28.9,29.9,27.5,28.0,28.0,2055.0,0.59,NSE/DYNAMATECH
2001-01-25,29.0,29.0,29.0,29.0,29.0,160.0,0.05,NSE/DYNAMATECH
2001-01-30,27.05,27.05,27.0,27.0,27.0,100.0,0.03,NSE/DYNAMATECH
2001-01-31,26.0,29.0,26.0,29.0,29.0,405.0,0.11,NSE/DYNAMATECH
2001-02-01,27.0,27.9,26.7,26.7,26.7,1200.0,0.32,NSE/DYNAMATECH
2001-02-02,25.2,27.5,25.1,26.0,26.0,651.0,0.17,NSE/DYNAMATECH
2001-02-05,25.25,27.0,25.25,27.0,27.0,200.0,0.05,NSE/DYNAMATECH
2001-02-06,25.35,26.25,25.1,26.0,26.0,1650.0,0.42,NSE/DYNAMATECH
2001-02-07,26.0,26.0,25.1,25.1,25.1,350.0,0.09,NSE/DYNAMATECH
2001-02-08,25.5,26.75,25.5,25.5,25.5,360.0,0.09,NSE/DYNAMATECH
2001-02-09,25.3,27.1,25.0,27.0,27.0,500.0,0.13,NSE/DYNAMATECH
2001-02-12,25.5,26.0,25.5,25.75,25.75,535.0,0.14,NSE/DYNAMATECH
2001-02-13,25.15,26.0,25.1,25.3,25.3,2378.0,0.61,NSE/DYNAMATECH
2001-02-14,26.7,26.7,25.5,25.5,25.5,495.0,0.13,NSE/DYNAMATECH
2001-02-15,25.5,26.75,25.3,25.3,25.3,1440.0,0.38,NSE/DYNAMATECH
2001-02-16,25.5,26.0,25.0,25.0,25.0,1522.0,0.39,NSE/DYNAMATECH
2001-02-19,25.0,25.1,25.0,25.1,25.1,150.0,0.04,NSE/DYNAMATECH
2001-02-20,24.7,25.0,24.5,25.0,25.0,400.0,0.1,NSE/DYNAMATECH
2001-02-21,25.15,25.15,25.1,25.1,25.1,108.0,0.03,NSE/DYNAMATECH
2001-02-22,25.0,25.1,24.0,24.6,24.6,1353.0,0.33,NSE/DYNAMATECH
2001-02-23,25.1,25.1,24.9,24.9,24.9,104.0,0.03,NSE/DYNAMATECH
2001-02-26,24.0,24.9,24.0,24.9,24.9,146.0,0.04,NSE/DYNAMATECH
2001-02-27,24.5,24.5,23.0,23.0,23.25,653.0,0.16,NSE/DYNAMATECH
2001-02-28,22.9,23.5,22.0,22.0,22.0,303.0,0.07,NSE/DYNAMATECH
2001-03-01,23.5,23.5,23.4,23.5,23.5,400.0,0.09,NSE/DYNAMATECH
2001-03-02,22.3,23.4,22.3,22.3,22.3,183.0,0.04,NSE/DYNAMATECH
2001-03-05,20.6,22.2,20.55,20.55,20.55,1342.0,0.28,NSE/DYNAMATECH
2001-03-07,20.55,21.0,20.55,21.0,21.0,750.0,0.16,NSE/DYNAMATECH
2001-03-08,20.55,20.65,20.55,20.55,20.55,1200.0,0.25,NSE/DYNAMATECH
2001-03-09,19.25,19.25,19.0,19.0,19.0,250.0,0.05,NSE/DYNAMATECH
2001-03-12,17.0,17.6,17.0,17.55,17.55,1200.0,0.21,NSE/DYNAMATECH
2001-03-13,17.15,20.8,17.15,18.0,18.0,9008.0,1.62,NSE/DYNAMATECH
2001-03-14,20.0,20.0,20.0,20.0,20.0,300.0,0.06,NSE/DYNAMATECH
2001-03-15,18.55,18.55,18.5,18.5,18.5,600.0,0.11,NSE/DYNAMATECH
2001-03-16,18.0,18.0,18.0,18.0,18.0,400.0,0.07,NSE/DYNAMATECH
2001-03-19,18.0,18.0,16.75,16.75,16.75,150.0,0.03,NSE/DYNAMATECH
2001-03-20,18.25,18.25,17.0,17.0,17.0,517.0,0.09,NSE/DYNAMATECH
2001-03-21,15.6,19.5,15.6,19.5,19.5,210.0,0.03,NSE/DYNAMATECH
2001-03-22,16.75,16.75,16.75,16.75,16.75,50.0,0.01,NSE/DYNAMATECH
2001-03-23,17.15,19.9,17.1,19.9,19.9,810.0,0.14,NSE/DYNAMATECH
2001-03-26,16.85,18.0,16.5,18.0,18.0,1001.0,0.17,NSE/DYNAMATECH
2001-03-27,18.5,18.5,18.0,18.0,18.0,201.0,0.04,NSE/DYNAMATECH
2001-03-28,19.75,19.75,19.75,19.75,19.75,5.0,0.0,NSE/DYNAMATECH
2001-03-29,22.4,22.4,19.0,19.0,19.0,4.0,0.0,NSE/DYNAMATECH
2001-04-02,15.55,21.9,15.55,21.9,21.9,49.0,0.01,NSE/DYNAMATECH
2001-04-03,20.15,20.15,20.15,20.15,20.15,6.0,0.0,NSE/DYNAMATECH
2001-04-04,18.55,18.55,18.55,18.55,18.55,240.0,0.04,NSE/DYNAMATECH
2001-04-10,16.0,16.2,16.0,16.1,16.1,340.0,0.05,NSE/DYNAMATECH
2001-04-11,18.0,18.0,18.0,18.0,18.0,1.0,0.0,NSE/DYNAMATECH
2001-04-12,17.25,17.25,16.5,16.5,16.5,150.0,0.03,NSE/DYNAMATECH
2001-04-16,17.0,17.0,17.0,17.0,17.0,50.0,0.01,NSE/DYNAMATECH
2001-04-17,16.0,17.9,16.0,17.9,17.9,1101.0,0.2,NSE/DYNAMATECH
2001-04-20,18.0,18.0,17.5,17.5,17.5,400.0,0.07,NSE/DYNAMATECH
2001-04-23,18.25,18.25,18.0,18.0,18.0,4000.0,0.72,NSE/DYNAMATECH
2001-04-24,18.0,18.5,17.1,18.5,18.5,300.0,0.05,NSE/DYNAMATECH
2001-04-25,19.1,19.1,16.85,16.85,16.85,2016.0,0.38,NSE/DYNAMATECH
2001-04-26,18.75,18.75,18.75,18.75,18.75,2000.0,0.38,NSE/DYNAMATECH
2001-04-27,18.2,18.2,18.2,18.2,18.2,1500.0,0.27,NSE/DYNAMATECH
2001-04-30,18.2,18.25,18.2,18.25,18.25,4000.0,0.73,NSE/DYNAMATECH
2001-05-02,16.15,17.7,16.0,17.7,16.25,2710.0,0.44,NSE/DYNAMATECH
2001-05-03,17.75,17.75,16.0,16.0,16.0,2150.0,0.38,NSE/DYNAMATECH
2001-05-04,17.05,17.05,16.15,16.15,16.15,5850.0,0.97,NSE/DYNAMATECH
2001-05-07,16.5,16.6,15.35,16.6,16.6,4501.0,0.74,NSE/DYNAMATECH
2001-05-08,14.7,16.55,14.7,16.5,15.3,5612.0,0.9,NSE/DYNAMATECH
2001-05-09,16.65,16.65,16.65,16.65,16.65,2000.0,0.33,NSE/DYNAMATECH
2001-05-10,17.05,17.05,16.25,16.25,16.25,3200.0,0.54,NSE/DYNAMATECH
2001-05-11,16.3,17.0,15.1,15.1,15.1,8350.0,1.31,NSE/DYNAMATECH
2001-05-14,14.35,15.55,14.35,15.25,15.25,6284.0,0.96,NSE/DYNAMATECH
2001-05-15,14.45,14.75,13.1,14.05,14.05,7598.0,1.09,NSE/DYNAMATECH
2001-05-16,14.3,14.45,14.3,14.45,14.45,3300.0,0.47,NSE/DYNAMATECH
2001-05-17,13.9,14.5,13.5,13.5,13.5,6800.0,0.97,NSE/DYNAMATECH
2001-05-18,14.15,14.9,13.85,13.85,13.85,2633.0,0.37,NSE/DYNAMATECH
2001-05-21,14.75,14.75,14.75,14.75,14.75,6000.0,0.88,NSE/DYNAMATECH
2001-05-22,14.6,15.0,14.25,15.0,15.0,4950.0,0.72,NSE/DYNAMATECH
2001-05-23,15.7,16.75,15.7,16.75,16.75,4450.0,0.72,NSE/DYNAMATECH
2001-05-24,16.05,16.05,16.05,16.05,16.05,3000.0,0.48,NSE/DYNAMATECH
2001-05-25,16.75,16.85,16.55,16.55,16.55,6500.0,1.08,NSE/DYNAMATECH
2001-05-28,15.75,16.5,15.75,16.5,16.5,4016.0,0.66,NSE/DYNAMATECH
2001-05-29,16.05,17.3,16.05,16.35,16.35,5816.0,0.95,NSE/DYNAMATECH
2001-05-30,17.05,17.05,16.3,16.3,16.3,4900.0,0.82,NSE/DYNAMATECH
2001-05-31,16.3,16.55,16.05,16.05,16.05,4010.0,0.66,NSE/DYNAMATECH
2001-06-01,16.1,16.1,15.95,16.0,16.0,801.0,0.13,NSE/DYNAMATECH
2001-06-04,17.0,17.0,16.5,16.5,16.5,4001.0,0.66,NSE/DYNAMATECH
2001-06-05,16.5,16.75,15.75,16.75,16.75,10601.0,1.76,NSE/DYNAMATECH
2001-06-06,16.8,17.3,16.35,16.35,16.5,6250.0,1.06,NSE/DYNAMATECH
2001-06-07,17.05,17.05,16.8,16.8,16.8,6100.0,1.03,NSE/DYNAMATECH
2001-06-08,17.3,17.3,17.3,17.3,17.3,3000.0,0.52,NSE/DYNAMATECH
2001-06-11,17.25,17.25,16.75,16.75,16.75,6000.0,1.02,NSE/DYNAMATECH
2001-06-12,17.0,17.0,16.25,16.5,16.5,6770.0,1.14,NSE/DYNAMATECH
2001-06-13,17.05,17.05,16.55,16.55,16.55,4800.0,0.82,NSE/DYNAMATECH
2001-06-14,16.8,16.8,16.25,16.25,16.25,6407.0,1.07,NSE/DYNAMATECH
2001-06-15,16.8,16.8,16.5,16.7,16.7,2900.0,0.48,NSE/DYNAMATECH
2001-06-18,16.4,16.4,16.0,16.0,16.0,3343.0,0.55,NSE/DYNAMATECH
2001-06-19,16.75,16.75,15.9,15.9,15.9,7150.0,1.19,NSE/DYNAMATECH
