Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2012-10-09,4.2,4.2,4.0,4.0,4.0,11097.0,0.45,NSE/DYNATECH
2012-10-10,3.8,3.8,3.8,3.8,3.8,6046.0,0.23,NSE/DYNATECH
2012-10-11,3.65,3.65,3.65,3.65,3.65,9505.0,0.35,NSE/DYNATECH
2012-10-12,3.5,3.5,3.5,3.5,3.5,4605.0,0.16,NSE/DYNATECH
2012-10-16,3.35,3.35,3.35,3.35,3.35,1207.0,0.04,NSE/DYNATECH
2012-10-17,3.2,3.2,3.2,3.2,3.2,615.0,0.02,NSE/DYNATECH
2012-10-18,3.05,3.05,3.05,3.05,3.05,1005.0,0.03,NSE/DYNATECH
2012-10-22,2.9,2.9,2.9,2.9,2.9,1260.0,0.04,NSE/DYNATECH
2012-10-23,2.35,2.35,2.35,2.35,2.35,4942.0,0.12,NSE/DYNATECH
2012-10-25,1.9,1.9,1.9,1.9,1.9,14886.0,0.28,NSE/DYNATECH
2012-10-26,1.75,2.05,1.75,2.05,2.05,625820.0,11.2,NSE/DYNATECH
2012-10-29,1.85,2.25,1.85,2.25,2.25,80586.0,1.75,NSE/DYNATECH
2012-10-30,2.25,2.45,2.1,2.45,2.4,92883.0,2.21,NSE/DYNATECH
2012-10-31,2.45,2.5,2.3,2.5,2.5,89613.0,2.17,NSE/DYNATECH
2012-11-01,2.45,2.5,2.4,2.45,2.45,7989.0,0.2,NSE/DYNATECH
2012-11-02,2.45,2.55,2.4,2.5,2.5,29342.0,0.72,NSE/DYNATECH
2012-11-05,2.6,2.6,2.45,2.6,2.55,21739.0,0.56,NSE/DYNATECH
2012-11-06,2.6,2.6,2.45,2.45,2.45,165844.0,4.08,NSE/DYNATECH
2012-11-07,2.35,2.5,2.35,2.35,2.35,13956.0,0.33,NSE/DYNATECH
2012-11-08,2.3,2.3,2.25,2.25,2.25,12021.0,0.27,NSE/DYNATECH
2012-11-09,2.2,2.2,2.2,2.2,2.2,1000.0,0.02,NSE/DYNATECH
2012-11-12,2.1,2.1,2.1,2.1,2.1,5900.0,0.12,NSE/DYNATECH
2012-11-15,2.05,2.2,2.05,2.1,2.1,34011.0,0.71,NSE/DYNATECH
2012-11-16,2.2,2.2,2.0,2.0,2.0,55294.0,1.12,NSE/DYNATECH
2012-11-19,2.1,2.1,2.1,2.1,2.1,100.0,0.0,NSE/DYNATECH
2012-11-20,2.0,2.0,2.0,2.0,2.0,21.0,0.0,NSE/DYNATECH
2012-11-21,1.9,1.9,1.9,1.9,1.9,10855.0,0.21,NSE/DYNATECH
2012-11-22,1.85,1.85,1.85,1.85,1.85,500.0,0.01,NSE/DYNATECH
2012-11-23,1.8,1.8,1.8,1.8,1.8,3083.0,0.06,NSE/DYNATECH
2012-11-26,1.75,1.85,1.75,1.85,1.8,24170.0,0.43,NSE/DYNATECH
2012-11-27,1.85,1.85,1.75,1.8,1.8,36064.0,0.64,NSE/DYNATECH
2012-11-29,1.75,1.75,1.75,1.75,1.75,1050.0,0.02,NSE/DYNATECH
2012-11-30,1.7,1.7,1.7,1.7,1.7,1320.0,0.02,NSE/DYNATECH
2012-12-03,1.65,1.65,1.65,1.65,1.65,3500.0,0.06,NSE/DYNATECH
2012-12-04,1.6,1.6,1.6,1.6,1.6,5510.0,0.09,NSE/DYNATECH
2012-12-05,1.55,1.55,1.55,1.55,1.55,13820.0,0.21,NSE/DYNATECH
2012-12-06,1.5,1.6,1.5,1.5,1.5,10761.0,0.16,NSE/DYNATECH
2012-12-07,1.5,1.55,1.45,1.55,1.55,23532.0,0.35,NSE/DYNATECH
2012-12-10,1.55,1.6,1.5,1.5,1.5,6023.0,0.09,NSE/DYNATECH
2012-12-11,1.45,1.55,1.45,1.5,1.5,3463.0,0.05,NSE/DYNATECH
2012-12-12,1.45,1.45,1.45,1.45,1.45,4192.0,0.06,NSE/DYNATECH
2012-12-13,1.4,1.5,1.4,1.4,1.4,9719.0,0.14,NSE/DYNATECH
2012-12-14,1.35,1.4,1.35,1.35,1.35,15086.0,0.2,NSE/DYNATECH
